row,track,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
0.000,I Want It That Way,0.216,0.689,213600,0.702,6e40mgJiCid5HRAGrbpGA6,0,6.000,0.159,-5.642,0.000,0.0261,99.031,,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6,0.484
1.000,Bye Bye Bye,0.0408,0.614,200560,0.928,4r8lRYnoOGdEi6YyI5OC1o,0.00104,8.000,0.0845,-4.806,0.000,0.0516,172.656,,https://api.spotify.com/v1/tracks/4r8lRYnoOGdEi6YyI5OC1o,0.879
2.000,Wannabe,0.101,0.768,173027,0.864,1Je1IMUlBXcx1Fz0WE7oPT,0,11.000,0.162,-6.145,1.000,0.0324,110.008,,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,0.891
3.000,I'll Be Missing You (feat. 112),0.0522,0.862,301520,0.479,3QHONiXGMGU3z68mQInncF,0.00126,7.000,0.589,-9.199,1.000,0.0646,109.878,,https://api.spotify.com/v1/tracks/3QHONiXGMGU3z68mQInncF,0.925
4.000,Everybody (Backstreet's Back) - Radio Edit,0.0352,0.731,225360,0.853,1di1BEgJYzPvXUuinsYJGP,0,10.000,0.268,-4.219,0.000,0.0363,108.016,,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP,0.605
5.000,All I Want for Christmas Is You,0.164,0.335,241107,0.625,0bYg9bo50gSsH3LtXe2SQn,0,7.000,0.0708,-7.462,1.000,0.0386,150.277,,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,0.346
6.000,Wonderwall,0.000807,0.409,258613,0.892,2CT3r93YuSHtm57mjxvjhH,0,2.000,0.207,-4.373,1.000,0.0336,174.426,,https://api.spotify.com/v1/tracks/2CT3r93YuSHtm57mjxvjhH,0.651
7.000,Zombie,0.0163,0.299,306411,0.613,2IZZqH4K02UIYg5EohpNHF,0.00359,7.000,0.368,-9.012,1.000,0.0347,166.96,,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF,0.306
8.000,Black or White - Single Version,0.0824,0.741,202853,0.894,2Cy7QY8HPLk925AyNAt6OG,0.0527,4.000,0.089,-3.826,1.000,0.0495,114.869,,https://api.spotify.com/v1/tracks/2Cy7QY8HPLk925AyNAt6OG,0.96
9.000,Iris,0.00125,0.315,289533,0.715,6Qyc6fS4DsZjB2mRW9DsQs,7.97E-06,11.000,0.0942,-8.072,0.000,0.0362,155.925,,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,0.497
