row,id,track,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,valence
0.000,6e40mgJiCid5HRAGrbpGA6,I Want It That Way,0.216,0.689,213600,0.702,0,6.000,0.159,-5.642,0.000,0.0261,99.031,,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6,0.484
1.000,4r8lRYnoOGdEi6YyI5OC1o,Bye Bye Bye,0.0408,0.614,200560,0.928,0.00104,8.000,0.0845,-4.806,0.000,0.0516,172.656,,https://api.spotify.com/v1/tracks/4r8lRYnoOGdEi6YyI5OC1o,0.879
2.000,1Je1IMUlBXcx1Fz0WE7oPT,Wannabe,0.101,0.768,173027,0.864,0,11.000,0.162,-6.145,1.000,0.0324,110.008,,https://api.spotify.com/v1/tracks/1Je1IMUlBXcx1Fz0WE7oPT,0.891
3.000,3QHONiXGMGU3z68mQInncF,I'll Be Missing You (feat. 112),0.0522,0.862,301520,0.479,0.00126,7.000,0.589,-9.199,1.000,0.0646,109.878,,https://api.spotify.com/v1/tracks/3QHONiXGMGU3z68mQInncF,0.925
4.000,1di1BEgJYzPvXUuinsYJGP,Everybody (Backstreet's Back) - Radio Edit,0.0352,0.731,225360,0.853,0,10.000,0.268,-4.219,0.000,0.0363,108.016,,https://api.spotify.com/v1/tracks/1di1BEgJYzPvXUuinsYJGP,0.605
5.000,0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,0.164,0.335,241107,0.625,0,7.000,0.0708,-7.462,1.000,0.0386,150.277,,https://api.spotify.com/v1/tracks/0bYg9bo50gSsH3LtXe2SQn,0.346
6.000,2CT3r93YuSHtm57mjxvjhH,Wonderwall,0.000807,0.409,258613,0.892,0,2.000,0.207,-4.373,1.000,0.0336,174.426,,https://api.spotify.com/v1/tracks/2CT3r93YuSHtm57mjxvjhH,0.651
7.000,2IZZqH4K02UIYg5EohpNHF,Zombie,0.0163,0.299,306411,0.613,0.00359,7.000,0.368,-9.012,1.000,0.0347,166.96,,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF,0.306
8.000,2Cy7QY8HPLk925AyNAt6OG,Black or White - Single Version,0.0824,0.741,202853,0.894,0.0527,4.000,0.089,-3.826,1.000,0.0495,114.869,,https://api.spotify.com/v1/tracks/2Cy7QY8HPLk925AyNAt6OG,0.96
9.000,6Qyc6fS4DsZjB2mRW9DsQs,Iris,0.00125,0.315,289533,0.715,7.97E-06,11.000,0.0942,-8.072,0.000,0.0362,155.925,,https://api.spotify.com/v1/tracks/6Qyc6fS4DsZjB2mRW9DsQs,0.497
10.000,0AvV49z4EPz5ocYN7eKGAK,No Diggity,0.303,0.868,304600,0.646,0,1.000,0.284,-4.674,0.000,0.288,88.641,,https://api.spotify.com/v1/tracks/0AvV49z4EPz5ocYN7eKGAK,0.67
11.000,7woW97CfcWaKtuC6W5BP2K,Heal the World,0.537,0.534,384307,0.485,1.79E-06,9.000,0.104,-8.045,1.000,0.0467,80.923,,https://api.spotify.com/v1/tracks/7woW97CfcWaKtuC6W5BP2K,0.102
12.000,2gSyc23Hua25fqSFpgAh6W,Say My Name,0.274,0.522,271333,0.676,0,5.000,0.134,-3.571,0.000,0.16,67.427,,https://api.spotify.com/v1/tracks/2gSyc23Hua25fqSFpgAh6W,0.746
13.000,5lA6mFOvaiienokVbTZEQx,Mambo No. 5 (A Little Bit of...),0.107,0.607,219600,0.802,0,5.000,0.305,-6.849,0.000,0.403,174.201,,https://api.spotify.com/v1/tracks/5lA6mFOvaiienokVbTZEQx,0.901
14.000,4pZ2aqPV39Gw3FuHrWKWnM,Kiss Me,0.116,0.529,205240,0.741,1.23E-06,3.000,0.0736,-5.661,1.000,0.0268,100.004,,https://api.spotify.com/v1/tracks/4pZ2aqPV39Gw3FuHrWKWnM,0.455
15.000,698mT3CTx8JEnp7twwJrGG,Don't Look Back in Anger,0.0303,0.349,287827,0.912,8.03E-06,0.000,0.12,-3.603,1.000,0.0692,164.001,,https://api.spotify.com/v1/tracks/698mT3CTx8JEnp7twwJrGG,0.224
16.000,3APayTEWiUl9Ssep4BOXR2,Torn,0.0746,0.559,244813,0.928,5.56E-05,5.000,0.696,-3.04,1.000,0.0355,96.315,,https://api.spotify.com/v1/tracks/3APayTEWiUl9Ssep4BOXR2,0.599
17.000,12BbMJsJi65mxneq6c9Lm7,All That She Wants,0.00526,0.707,211213,0.628,8.21E-05,11.000,0.104,-9.684,1.000,0.0877,187.548,,https://api.spotify.com/v1/tracks/12BbMJsJi65mxneq6c9Lm7,0.87
18.000,3MjUtNVVq3C8Fn0MP3zhXa,...Baby One More Time,0.202,0.759,211067,0.699,0.000131,0.000,0.443,-5.745,0.000,0.0307,92.96,,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,0.907
19.000,7nYvUtkQMx1v80S2FH2s9J,Regulate,0.29,0.845,248867,0.51,2.39E-06,11.000,0.114,-13.064,0.000,0.224,95.265,,https://api.spotify.com/v1/tracks/7nYvUtkQMx1v80S2FH2s9J,0.74
