,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
All Along the Watchtower,2aoo2jlRnM3A0NyLQqMN2f,0.00255,0.438,240800,0.805,5.69e-05,8,0.0842,-6.237,1,0.0624,113.253,0.564,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f
My Generation - Stereo Version,4u9f8hqstB7iITDJNzKhQx,0.328,0.397,198707,0.785,0.00495,2,0.0621,-9.168,0,0.0545,96.333,0.646,https://api.spotify.com/v1/tracks/4u9f8hqstB7iITDJNzKhQx
(I Can't Get No) Satisfaction,5FKkbyGm42hw1y08l2knlO,0.00038,0.735,222747,0.82,0.0572,2,0.0983,-8.554,1,0.0494,135.586,0.859,https://api.spotify.com/v1/tracks/5FKkbyGm42hw1y08l2knlO
"Hello, I Love You",3bWGaqVeYKMlLss40mPgNn,0.029,0.597,133200,0.554,0.0,11,0.0766,-14.144,0,0.0425,117.835,0.963,https://api.spotify.com/v1/tracks/3bWGaqVeYKMlLss40mPgNn
Whole Lotta Love,0hCB0YR03f6AmQaHbwWDe8,0.0484,0.412,333893,0.902,0.131,9,0.405,-11.6,1,0.405,89.74,0.422,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8
Hey Jude - Remastered 2015,0aym2LBJBk9DAYuHHutrIl,0.0112,0.386,425653,0.607,1.38e-05,10,0.088,-7.7,1,0.0261,147.207,0.532,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl
White Room,3Xls4cNOwy01dtrNXb1inG,0.23,0.547,303200,0.58,0.00877,2,0.0569,-13.415,0,0.0293,109.827,0.505,https://api.spotify.com/v1/tracks/3Xls4cNOwy01dtrNXb1inG
You Really Got Me - Mono Mix,29SyMC0plk6qw8NMF7lfRL,0.493,0.573,134253,0.939,0.0,8,0.0994,-6.441,1,0.0808,137.382,0.963,https://api.spotify.com/v1/tracks/29SyMC0plk6qw8NMF7lfRL
Surfin' U.S.A. - Remastered,0wz1LjDb9ZNEYwOmDJ3Q4b,0.661,0.55,149373,0.854,0.0,3,0.112,-5.968,1,0.036,159.231,0.965,https://api.spotify.com/v1/tracks/0wz1LjDb9ZNEYwOmDJ3Q4b
"Oh, Pretty Woman",48i055G1OT5KxGGftwFxWy,0.715,0.619,178933,0.603,0.0,9,0.0721,-9.481,1,0.0342,127.432,0.958,https://api.spotify.com/v1/tracks/48i055G1OT5KxGGftwFxWy
Back In The U.S.S.R. - 2018 Mix,5Ly2g3fnof2iFE8zsQZJX2,0.00102,0.51,163467,0.893,5.85e-05,9,0.201,-9.267,1,0.0342,142.657,0.934,https://api.spotify.com/v1/tracks/5Ly2g3fnof2iFE8zsQZJX2
For What It's Worth,1qRA5BS78u3gME0loMl9AA,0.406,0.653,153693,0.519,0.0209,2,0.101,-10.164,1,0.0497,98.883,0.822,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA
Fortunate Son,4BP3uh0hFLFRb5cjsgLqDh,0.201,0.64,140773,0.663,0.00806,0,0.152,-7.516,1,0.0374,132.77,0.663,https://api.spotify.com/v1/tracks/4BP3uh0hFLFRb5cjsgLqDh
Born To Be Wild - Single Version,3lN8PP6R2IxbLP05QpYXng,0.273,0.439,212893,0.737,0.28,2,0.228,-12.054,1,0.115,145.942,0.533,https://api.spotify.com/v1/tracks/3lN8PP6R2IxbLP05QpYXng
