,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Juicy,5ByAIlEEnxYdvpnezg7HTX,0.472,0.889,302693,0.816,0.0,9,0.204,-4.67,1,0.247,96.056,0.777,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX
Still D.R.E.,503OTo2dSqe7qk76rgsbep,0.177,0.821,270587,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,0.547,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep
Ambitionz Az A Ridah,3ssX20QT5c3nA9wk78V1LQ,0.00253,0.801,278387,0.908,0.000655,2,0.0698,-6.554,1,0.221,87.279,0.805,https://api.spotify.com/v1/tracks/3ssX20QT5c3nA9wk78V1LQ
I Got 5 On It,4IYKjN1DrYzxKXt0umJqsG,0.209,0.6,253533,0.706,0.0,10,0.125,-7.899,0,0.361,173.926,0.58,https://api.spotify.com/v1/tracks/4IYKjN1DrYzxKXt0umJqsG
Gangsta's Paradise,7lQWRAjyhTpCWFC0jmclT4,0.0655,0.647,240693,0.514,0.0,8,0.398,-10.05,1,0.0593,79.974,0.387,https://api.spotify.com/v1/tracks/7lQWRAjyhTpCWFC0jmclT4
No Diggity,0AvV49z4EPz5ocYN7eKGAK,0.303,0.868,304600,0.646,0.0,1,0.284,-4.674,0,0.288,88.641,0.67,https://api.spotify.com/v1/tracks/0AvV49z4EPz5ocYN7eKGAK
Forgot About Dre,0Zh5U48tZNeAzzLTV1CVBE,0.092,0.925,222240,0.737,0.0,8,0.169,-1.292,1,0.0777,133.946,0.603,https://api.spotify.com/v1/tracks/0Zh5U48tZNeAzzLTV1CVBE
"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,0.0146,0.763,325507,0.786,0.0114,10,0.0817,-6.472,0,0.229,93.857,0.504,https://api.spotify.com/v1/tracks/33ZXjLCpiINn8eQIDYEPTD
Big Poppa,17larILaMHwsprsMFnYI77,0.432,0.778,252747,0.578,0.0,9,0.138,-7.22,0,0.274,84.487,0.758,https://api.spotify.com/v1/tracks/17larILaMHwsprsMFnYI77
All Eyez On Me,2xTft6GEZeTyWNpdX94rkf,0.03,0.873,307773,0.719,0.0,1,0.333,-5.948,1,0.248,93.281,0.858,https://api.spotify.com/v1/tracks/2xTft6GEZeTyWNpdX94rkf
The Next Episode,20LxTsa6936zOlzTWqoPVt,0.0313,0.92,161600,0.891,0.0,3,0.083,-2.398,0,0.253,95.295,0.311,https://api.spotify.com/v1/tracks/20LxTsa6936zOlzTWqoPVt
Hypnotize - 2014 Remastered Version,7KwZNVEaqikRSBSpyhXK2j,0.145,0.901,229827,0.697,0.0,9,0.287,-3.439,1,0.28,93.941,0.67,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j
It Was A Good Day,2lUirvUhqfBqJzUvk4tLoK,0.279,0.792,259947,0.82,0.000403,7,0.25,-3.58,0,0.116,82.363,0.793,https://api.spotify.com/v1/tracks/2lUirvUhqfBqJzUvk4tLoK
Regulate,68pWLkspLFIfIPPtzyTkQy,0.306,0.849,248867,0.521,1.65e-06,11,0.115,-12.999,0,0.216,95.262,0.763,https://api.spotify.com/v1/tracks/68pWLkspLFIfIPPtzyTkQy
California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,0.0292,0.761,284480,0.847,2.26e-06,7,0.39,-3.068,1,0.0417,91.519,0.765,https://api.spotify.com/v1/tracks/3djNBlI7xOggg7pnsOLaNm
Check Yo Self - Remix,3NGT0Td7H4Is1qrlDQJxma,0.031,0.934,273107,0.735,8.6e-06,1,0.107,-6.668,1,0.251,101.368,0.768,https://api.spotify.com/v1/tracks/3NGT0Td7H4Is1qrlDQJxma
Ready or Not,6OtlkByM64FzhICejC8TaY,0.21,0.601,226987,0.422,0.0,10,0.0839,-13.364,0,0.518,132.456,0.563,https://api.spotify.com/v1/tracks/6OtlkByM64FzhICejC8TaY
Gin And Juice (feat. Dat Nigga Daz),0WKYRFtH6KKbaNWjsxqm70,0.0285,0.549,211493,0.853,0.000296,7,0.618,-4.293,1,0.188,94.695,0.346,https://api.spotify.com/v1/tracks/0WKYRFtH6KKbaNWjsxqm70
