,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T,2.86e-05,0.516,301920,0.906,0.000101,1,0.105,-4.525,1,0.0658,116.775,0.728,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T
Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,0.000453,0.372,258733,0.865,0.0,2,0.234,-4.918,1,0.0381,174.53,0.478,https://api.spotify.com/v1/tracks/5wj4E6IsrVtn8IBJQOd0Cl
Basket Case,6L89mwZXSOwYl76YXfX13s,0.00293,0.442,181533,0.943,8.71e-06,3,0.091,-3.205,1,0.0602,85.064,0.781,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s
Zombie,2IZZqH4K02UIYg5EohpNHF,0.0163,0.299,306411,0.613,0.00359,7,0.368,-9.012,1,0.0347,166.96,0.306,https://api.spotify.com/v1/tracks/2IZZqH4K02UIYg5EohpNHF
Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea,0.00165,0.619,211933,0.67,0.0109,11,0.331,-10.319,0,0.0353,129.267,0.777,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea
All Star,7ntXYU4zboGuq5ZunkrXRB,0.0395,0.731,200373,0.867,0.0,11,0.0861,-5.881,1,0.032,104.019,0.776,https://api.spotify.com/v1/tracks/7ntXYU4zboGuq5ZunkrXRB
Come As You Are,4P5KoWXOxwuobLmHXLMobV,0.000182,0.505,218920,0.825,0.000948,4,0.0855,-5.721,0,0.0401,119.987,0.541,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV
Self Esteem,1FkoVC85Ds3mFoK0fVqEqP,0.0204,0.488,257827,0.862,0.0,0,0.359,-7.595,1,0.0476,104.56,0.706,https://api.spotify.com/v1/tracks/1FkoVC85Ds3mFoK0fVqEqP
Losing My Religion,4d9RTWdrFLVAGhdzvqxkwn,0.0943,0.7,268933,0.686,1.93e-06,9,0.0847,-10.338,0,0.0279,125.412,0.815,https://api.spotify.com/v1/tracks/4d9RTWdrFLVAGhdzvqxkwn
Under The Bridge,3d9DChrdc6BOeFsbrZ3Is0,0.0576,0.559,264307,0.345,0.000105,4,0.141,-13.496,1,0.0459,84.581,0.458,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0
Song 2 - 2012 Remastered Version,1FTSo4v6BOZH9QxKc3MbVM,0.00178,0.674,121160,0.789,0.0071,8,0.0754,-6.903,1,0.0676,129.804,0.918,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM
Bitter Sweet Symphony,5yEPxDjbbzUzyauGtnmVEC,0.0415,0.389,358427,0.889,0.0,9,0.463,-6.546,1,0.0442,171.121,0.524,https://api.spotify.com/v1/tracks/5yEPxDjbbzUzyauGtnmVEC
Creep,3HfB5hBU0dmBt8T0iCmH42,0.00563,0.532,235667,0.344,0.000473,7,0.115,-13.057,1,0.035,91.834,0.126,https://api.spotify.com/v1/tracks/3HfB5hBU0dmBt8T0iCmH42
Nothing Else Matters,3ZFwuJwUpIl0GeXsvF1ELf,0.0505,0.558,388733,0.364,5.02e-06,4,0.0753,-11.258,0,0.0265,142.171,0.17,https://api.spotify.com/v1/tracks/3ZFwuJwUpIl0GeXsvF1ELf
The Kids Aren't Alright,01a0J96fRD91VnjQQUCqMK,0.00594,0.527,180160,0.941,2.89e-05,1,0.0641,-4.213,1,0.0377,99.636,0.793,https://api.spotify.com/v1/tracks/01a0J96fRD91VnjQQUCqMK
All The Small Things,7yCPwWs66K8Ba5lFuU2bcx,0.0122,0.439,168000,0.891,0.0,0,0.547,-4.764,1,0.057,148.599,0.695,https://api.spotify.com/v1/tracks/7yCPwWs66K8Ba5lFuU2bcx
Don't Speak,5PsUB0ISfQxRLhF5DmI5Ks,0.24,0.522,263000,0.707,2.04e-05,5,0.156,-7.113,0,0.0354,76.05,0.572,https://api.spotify.com/v1/tracks/5PsUB0ISfQxRLhF5DmI5Ks
Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.0266,0.466,313573,0.833,0.0,7,0.0327,-4.215,1,0.304,88.785,0.661,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp
