,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,0.00987,0.601,217467,0.794,1.36e-06,7,0.388,-5.844,0,0.0671,114.066,0.244,https://api.spotify.com/v1/tracks/27rdGxbavYJeBphck5MZAF
Finest Hour (feat. Abir),0p0ljM6RxgpGt7wthGqBZa,0.0789,0.656,215781,0.729,0.0,5,0.133,-4.223,0,0.0765,95.974,0.438,https://api.spotify.com/v1/tracks/0p0ljM6RxgpGt7wthGqBZa
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,0.551,0.753,158053,0.498,0.0,2,0.0706,-5.61,1,0.0504,89.95,0.927,https://api.spotify.com/v1/tracks/1A6OTy97kk0mMdm78rHsm8
Without Me,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,0.533,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C
Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,0.00801,0.856,269667,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,0.928,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS
Happier,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,0.671,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99
This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,0.0558,0.575,197947,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,0.449,https://api.spotify.com/v1/tracks/15kQGEy89K8deJcZVFEn0N
Party In The U.S.A.,3E7dfMvvCLUddWissuqMwr,0.00112,0.652,202067,0.698,0.000115,10,0.0886,-4.667,0,0.042,96.021,0.47,https://api.spotify.com/v1/tracks/3E7dfMvvCLUddWissuqMwr
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,0.033,0.775,191496,0.872,0.0579,6,0.298,-4.194,1,0.0469,122.994,0.379,https://api.spotify.com/v1/tracks/5sdb5pMhcK44SSLsj1moUh
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,0.435,https://api.spotify.com/v1/tracks/2rPE9A1vEgShuZxxzR2tZH
Valerie - Version Revisited,4BfRDZLIiznSnwU7DdDL9N,0.00253,0.698,219413,0.843,0.000454,1,0.124,-4.789,1,0.0544,105.83,0.894,https://api.spotify.com/v1/tracks/4BfRDZLIiznSnwU7DdDL9N
Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,0.492,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4
Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,0.252,0.669,192537,0.684,0.0,7,0.72,-4.595,1,0.0585,96.097,0.466,https://api.spotify.com/v1/tracks/2r1T6xGTVaNAqBoPH4lZEE
Love No More,2SLxnK1zawTiQM9fUbcr4L,0.0203,0.768,168636,0.673,4.51e-05,0,0.258,-6.248,1,0.0536,121.021,0.228,https://api.spotify.com/v1/tracks/2SLxnK1zawTiQM9fUbcr4L
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,0.00882,0.613,231240,0.622,0.0,1,0.37,-5.794,0,0.0334,80.003,0.484,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH
Drew Barrymore,0OgGn1ofaj55l2PcihQQGV,0.493,0.763,190472,0.572,0.00118,11,0.106,-7.312,0,0.0595,151.93,0.25,https://api.spotify.com/v1/tracks/0OgGn1ofaj55l2PcihQQGV
Wherever You Go,14nIFzHQf1OBWf6VHVR8DF,0.0835,0.711,208947,0.724,0.0,7,0.0389,-4.809,1,0.106,104.048,0.478,https://api.spotify.com/v1/tracks/14nIFzHQf1OBWf6VHVR8DF
Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,0.0882,0.694,201253,0.852,0.0,7,0.334,-5.34,0,0.257,107.178,0.377,https://api.spotify.com/v1/tracks/575NJxNUVDqwJGdzBrlLbv
Remember (with ZOHARA),3Iee2uf8UXOrOupQzfs1z5,0.102,0.62,221773,0.906,0.0206,11,0.183,-3.638,0,0.0627,123.047,0.398,https://api.spotify.com/v1/tracks/3Iee2uf8UXOrOupQzfs1z5
Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,0.0104,0.588,238173,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,0.505,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk
So Close,7FjZU7XFs7P9jHI9Z0yRhK,0.121,0.7,190302,0.872,7.08e-06,10,0.103,-5.896,1,0.0666,125.03,0.761,https://api.spotify.com/v1/tracks/7FjZU7XFs7P9jHI9Z0yRhK
Back & Forth,4M8x1TR36VMQMFMbGCdoyA,0.0181,0.684,196215,0.816,0.0,10,0.0222,-5.211,0,0.0322,121.993,0.702,https://api.spotify.com/v1/tracks/4M8x1TR36VMQMFMbGCdoyA
Home,72rMovcXnFRHQHDXBFnzvb,0.173,0.742,181125,0.722,0.0,4,0.4,-3.443,0,0.0405,103.472,0.581,https://api.spotify.com/v1/tracks/72rMovcXnFRHQHDXBFnzvb
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,0.585,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU
Don't Let Me Down,1i1fxkWeaMmKEB4T7zqbzK,0.157,0.532,208373,0.869,0.00508,11,0.136,-5.094,1,0.172,159.803,0.422,https://api.spotify.com/v1/tracks/1i1fxkWeaMmKEB4T7zqbzK
E-Lo (feat. Jozzy),3eydp9rHJAskzOevEBK267,0.469,0.698,214720,0.797,0.00118,3,0.152,-5.125,0,0.0615,101.969,0.53,https://api.spotify.com/v1/tracks/3eydp9rHJAskzOevEBK267
Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim
Pretty Girl - Cheat Codes X CADE Remix,1NDxZ7cFAo481dtYWdrUnR,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733,https://api.spotify.com/v1/tracks/1NDxZ7cFAo481dtYWdrUnR
Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,0.661,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw
