,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Perfect Duet (Ed Sheeran & Beyoncé),1bhUWB0zJMIKr9yVPrkEuI,0.779,0.587,259550,0.299,0.0,8,0.123,-7.365,1,0.0263,94.992,0.356,https://api.spotify.com/v1/tracks/1bhUWB0zJMIKr9yVPrkEuI
Can’t Help Falling in Love,7uuEfUMuPeQ7RlSWa0cES2,0.905,0.266,201933,0.0596,7.07e-05,0,0.132,-18.515,1,0.0363,181.74,0.143,https://api.spotify.com/v1/tracks/7uuEfUMuPeQ7RlSWa0cES2
Shallow,2VxeLyX666F8uXCJ0dZF8B,0.371,0.572,215733,0.385,0.0,7,0.231,-6.362,1,0.0308,95.799,0.323,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B
Shrike,5uIYONgpUQ7t0v7D6CTMBt,0.464,0.387,300707,0.278,0.00527,7,0.102,-8.454,0,0.0318,153.426,0.0632,https://api.spotify.com/v1/tracks/5uIYONgpUQ7t0v7D6CTMBt
Ophelia,3qhobDAfBcVoOWZP8Ck8R2,0.613,0.664,160097,0.573,0.000363,5,0.0857,-6.519,1,0.0277,76.023,0.566,https://api.spotify.com/v1/tracks/3qhobDAfBcVoOWZP8Ck8R2
Beyond,5esPpmrM2AsyDVgOKzWQwU,0.229,0.58,240600,0.687,0.0,6,0.109,-5.4,1,0.106,76.014,0.187,https://api.spotify.com/v1/tracks/5esPpmrM2AsyDVgOKzWQwU
Latch - Acoustic,44jGrgXzD1p1jCLTHrveg8,0.977,0.389,221050,0.294,0.00393,8,0.107,-5.429,1,0.0277,88.636,0.243,https://api.spotify.com/v1/tracks/44jGrgXzD1p1jCLTHrveg8
Big Jet Plane,5Z1U0knfYnsfvZycgDeOiC,0.239,0.763,239147,0.387,0.00747,10,0.13,-8.643,0,0.0278,109.957,0.273,https://api.spotify.com/v1/tracks/5Z1U0knfYnsfvZycgDeOiC
When You Love Someone - Acoustic,6668ZaUUXqZ25Tb0DMr2HO,0.803,0.711,210107,0.299,0.0,7,0.116,-8.286,1,0.0394,125.068,0.577,https://api.spotify.com/v1/tracks/6668ZaUUXqZ25Tb0DMr2HO
Slow Dancing in a Burning Room - Acoustic,3PSMcb1gU5A8DveqU2K4z2,0.835,0.611,232707,0.313,0.000315,4,0.111,-10.242,1,0.0339,134.858,0.378,https://api.spotify.com/v1/tracks/3PSMcb1gU5A8DveqU2K4z2
Georgia,429EttO8gs0bDo2SQfUNSm,0.312,0.388,230507,0.66,0.000307,11,0.0943,-7.372,1,0.0308,143.554,0.401,https://api.spotify.com/v1/tracks/429EttO8gs0bDo2SQfUNSm
Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,0.562,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb
Wild Love - Acoustic,4zDQS1OCghoOKkjw6hf2qT,0.856,0.507,189147,0.408,0.0,11,0.102,-7.652,0,0.0396,140.038,0.53,https://api.spotify.com/v1/tracks/4zDQS1OCghoOKkjw6hf2qT
Foreign Hands,7fDkkwlp02iHGzKlG2gZr8,0.365,0.684,258651,0.543,2.07e-06,3,0.113,-5.579,0,0.0281,140.996,0.361,https://api.spotify.com/v1/tracks/7fDkkwlp02iHGzKlG2gZr8
Smoke Filled Room - Acoustic Session,0ncp94ULTBgS0U3GZD80AC,0.573,0.735,189660,0.43,0.0,9,0.111,-9.532,1,0.0349,129.942,0.522,https://api.spotify.com/v1/tracks/0ncp94ULTBgS0U3GZD80AC
Wild Horses - Acoustic,03HbxaCm8eBHLxbfdRRQ2e,0.634,0.719,188907,0.27,0.0,8,0.111,-10.534,1,0.0349,129.965,0.299,https://api.spotify.com/v1/tracks/03HbxaCm8eBHLxbfdRRQ2e
September Song - Guitar Acoustic,4LTOzL6JsnQBifmpsbo9a5,0.359,0.41,212153,0.428,0.0,0,0.138,-7.927,0,0.0329,88.361,0.526,https://api.spotify.com/v1/tracks/4LTOzL6JsnQBifmpsbo9a5
Lost On You,5hn1VvnTKDUne8wGB4UfXB,0.918,0.563,195579,0.261,0.0,10,0.0982,-9.251,1,0.0709,125.129,0.411,https://api.spotify.com/v1/tracks/5hn1VvnTKDUne8wGB4UfXB
Hold My Girl,1kjrgWG47wJgVqvQOvyb7C,0.597,0.614,211764,0.527,0.0,10,0.11,-6.374,1,0.0302,121.941,0.354,https://api.spotify.com/v1/tracks/1kjrgWG47wJgVqvQOvyb7C
Castle on the Hill - Acoustic,5X6TnKT37TaSDkFm0598Uo,0.518,0.563,226227,0.26,0.0,2,0.146,-5.856,1,0.0391,145.561,0.616,https://api.spotify.com/v1/tracks/5X6TnKT37TaSDkFm0598Uo
After Rain,3XzLC1TU451F0nPiJitk49,0.505,0.48,294000,0.418,0.00416,11,0.11,-9.622,0,0.0312,132.404,0.319,https://api.spotify.com/v1/tracks/3XzLC1TU451F0nPiJitk49
Such A Simple Thing,4PuUa8e5s7P3Zv1IdCGIsa,0.86,0.522,296387,0.256,0.000825,10,0.142,-11.216,1,0.0258,76.35,0.13,https://api.spotify.com/v1/tracks/4PuUa8e5s7P3Zv1IdCGIsa
