,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,0.207,0.709,291293,0.824,0.000307,1,0.0888,-8.824,1,0.0453,118.814,0.867,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj
Last Christmas,77nF1t4qesuOJRd8lbIzNX,0.215,0.735,262760,0.681,9.96e-06,2,0.411,-6.195,1,0.0282,107.671,0.948,https://api.spotify.com/v1/tracks/77nF1t4qesuOJRd8lbIzNX
Holiday,7arHM2KZ0KzIZXFVDRGClI,0.0251,0.813,231560,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,0.732,https://api.spotify.com/v1/tracks/7arHM2KZ0KzIZXFVDRGClI
Bette Davis Eyes - Radio Edit; 1997 Remastered Version,5i7GFU1ZSX03MX5dLcNgJP,0.125,0.655,221773,0.533,0.0,5,0.245,-12.173,1,0.03,116.055,0.515,https://api.spotify.com/v1/tracks/5i7GFU1ZSX03MX5dLcNgJP
Every Breath You Take,2PnNomkEqlg9ADKCVG0Wt0,0.413,0.828,253733,0.447,0.00335,1,0.074,-10.563,1,0.0349,117.391,0.676,https://api.spotify.com/v1/tracks/2PnNomkEqlg9ADKCVG0Wt0
Everybody Wants To Rule The World,40dJCw4xU6Bd5ie9rfagNo,0.363,0.637,251480,0.811,0.00451,7,0.107,-11.345,1,0.0583,112.053,0.552,https://api.spotify.com/v1/tracks/40dJCw4xU6Bd5ie9rfagNo
I Want To Break Free,3mvoMBK8QDtnhz8U2L2XK2,0.0512,0.862,201000,0.401,0.00607,4,0.18,-12.088,1,0.0374,109.142,0.8,https://api.spotify.com/v1/tracks/3mvoMBK8QDtnhz8U2L2XK2
Take On Me,2WfaOiMkCvy7F5fcp2zZ8L,0.018,0.573,225280,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,0.876,https://api.spotify.com/v1/tracks/2WfaOiMkCvy7F5fcp2zZ8L
Footloose,4YR6Dextuoc3I8nJ0XgzKI,0.159,0.564,226293,0.911,4.36e-05,2,0.118,-5.39,1,0.0536,173.938,0.582,https://api.spotify.com/v1/tracks/4YR6Dextuoc3I8nJ0XgzKI
Maniac,1xPSDf8z4dH46gkvlLtvDO,0.0891,0.617,244707,0.533,4.04e-06,3,0.0415,-11.516,0,0.0651,158.86,0.835,https://api.spotify.com/v1/tracks/1xPSDf8z4dH46gkvlLtvDO
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.227,0.692,216933,0.711,0.0,0,0.12,-7.498,0,0.0317,125.135,0.875,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS
Maneater - Radio Edit,028r3igL3M00VdRCe2Ga7Q,0.0153,0.728,270947,0.518,4.19e-05,11,0.103,-11.114,0,0.038,88.708,0.833,https://api.spotify.com/v1/tracks/028r3igL3M00VdRCe2Ga7Q
Africa,5tJjo5JDF9zhzYD7yQfATH,0.256,0.678,296000,0.499,9.85e-05,9,0.051,-12.816,1,0.0308,92.627,0.718,https://api.spotify.com/v1/tracks/5tJjo5JDF9zhzYD7yQfATH
Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,0.112,0.933,214653,0.528,0.312,5,0.163,-6.472,0,0.161,109.967,0.754,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7
Purple Rain,4m2GdLuOhDt6rFbgOFMHIL,0.0416,0.383,522307,0.57,0.00683,10,0.746,-7.019,1,0.0318,114.147,0.183,https://api.spotify.com/v1/tracks/4m2GdLuOhDt6rFbgOFMHIL
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,293827,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,0.847,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5
Don't Stop Believin',4bHsxqR3GMrXTxEPLuK5ue,0.127,0.5,250987,0.748,0.0,4,0.447,-9.072,1,0.0363,118.852,0.514,https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,0.0747,0.701,197707,0.943,0.0,4,0.601,-2.986,1,0.0456,128.992,0.791,https://api.spotify.com/v1/tracks/5zA8vzDGqPl2AzZkEYQGKh
Heaven,7Ewz6bJ97vUqk5HdkvguFQ,0.0465,0.382,243360,0.589,0.0,9,0.122,-7.315,0,0.0267,140.059,0.335,https://api.spotify.com/v1/tracks/7Ewz6bJ97vUqk5HdkvguFQ
Wake Me Up Before You Go-Go,5XsMz0YfEaHZE0MTb1aujs,0.186,0.618,230693,0.764,0.0,0,0.12,-6.027,1,0.0562,81.366,0.876,https://api.spotify.com/v1/tracks/5XsMz0YfEaHZE0MTb1aujs
Karma Chameleon,3XDeeP9wBZzGhIPZmLfEEx,0.214,0.661,252760,0.552,0.0,10,0.206,-12.385,1,0.0337,92.056,0.928,https://api.spotify.com/v1/tracks/3XDeeP9wBZzGhIPZmLfEEx
You Can't Hurry Love,4YUlGNZfYA6EUE5KDsGqpC,0.0674,0.639,175347,0.923,0.0,7,0.0879,-5.708,1,0.032,97.874,0.761,https://api.spotify.com/v1/tracks/4YUlGNZfYA6EUE5KDsGqpC
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.0116,0.596,238733,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,0.944,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0
Don't Dream It's Over,7G7tgVYORlDuVprcYHuFJh,0.0148,0.439,236933,0.422,4.84e-05,8,0.0697,-17.227,1,0.0409,81.833,0.551,https://api.spotify.com/v1/tracks/7G7tgVYORlDuVprcYHuFJh
Born In The U.S.A.,310epXrlbXmfGcD1qSdgVV,0.00201,0.397,278827,0.861,2.49e-05,4,0.35,-12.156,1,0.0569,121.856,0.512,https://api.spotify.com/v1/tracks/310epXrlbXmfGcD1qSdgVV
