,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
HUMBLE. - SKRILLEX REMIX,65ES1qwOB577ZnTkizMXJJ,0.00778,0.898,156800,0.935,3.63e-05,11,0.217,-2.744,1,0.291,150.016,0.884,https://api.spotify.com/v1/tracks/65ES1qwOB577ZnTkizMXJJ
Last Breath,4Arjo1XR9qXsLstvU9fFV3,0.431,0.675,239800,0.758,0.00177,4,0.377,-4.589,0,0.0368,89.982,0.152,https://api.spotify.com/v1/tracks/4Arjo1XR9qXsLstvU9fFV3
You Cant Stop Me,4sULmO0taLzXZFs6zyf6Yn,0.0459,0.771,239962,0.826,0.0,3,0.264,-4.617,0,0.159,145.985,0.451,https://api.spotify.com/v1/tracks/4sULmO0taLzXZFs6zyf6Yn
'Till I Collapse,4xkOaSrkexMciUUogZKVTS,0.0757,0.572,297893,0.853,0.0,1,0.0798,-3.203,1,0.217,171.297,0.102,https://api.spotify.com/v1/tracks/4xkOaSrkexMciUUogZKVTS
Patiently Waiting,3ORfa5ilEthp2U0TRcv7kv,0.276,0.699,288880,0.688,0.0,10,0.359,-2.426,0,0.291,79.02,0.537,https://api.spotify.com/v1/tracks/3ORfa5ilEthp2U0TRcv7kv
POWER,2gZUPNdnz5Y45eiGxpHGSc,0.0162,0.543,292093,0.915,0.0,0,0.744,-4.746,0,0.113,153.998,0.577,https://api.spotify.com/v1/tracks/2gZUPNdnz5Y45eiGxpHGSc
Loudest MF,34xsvZ1A2Ou1oo1VyOwQG1,0.00403,0.696,196964,0.958,0.371,9,0.0874,-3.207,1,0.4,149.996,0.461,https://api.spotify.com/v1/tracks/34xsvZ1A2Ou1oo1VyOwQG1
Natural,4zIO3ilp5HvTeK3HJHxhMP,0.216,0.448,189467,0.612,0.0,2,0.08,-6.106,1,0.0708,97.773,0.213,https://api.spotify.com/v1/tracks/4zIO3ilp5HvTeK3HJHxhMP
Back To Back,5lFDtgWsjRJu8fPOAyJIAK,0.00898,0.635,170638,0.472,0.0,8,0.117,-3.869,0,0.511,174.008,0.373,https://api.spotify.com/v1/tracks/5lFDtgWsjRJu8fPOAyJIAK
Everyday,4EAV2cKiqKP5UPZmY6dejk,0.041,0.67,204747,0.752,0.0,1,0.0749,-4.146,1,0.0374,149.961,0.442,https://api.spotify.com/v1/tracks/4EAV2cKiqKP5UPZmY6dejk
DJ Turn It Up,1ivuWgxFQb2xzxVNSlB1hF,0.000956,0.829,211777,0.695,0.178,1,0.112,-5.561,1,0.0473,102.018,0.369,https://api.spotify.com/v1/tracks/1ivuWgxFQb2xzxVNSlB1hF
RAMPAGE - Riot Ten Remix,1pUkTY6T3NKJB7y0aZOt4I,0.00703,0.562,183254,0.834,9.46e-06,11,0.161,-4.725,1,0.254,150.245,0.25,https://api.spotify.com/v1/tracks/1pUkTY6T3NKJB7y0aZOt4I
WAITING,0IrEswfPqkHn7iGUoCDPAb,0.00099,0.508,251200,0.929,0.313,8,0.0876,-3.018,1,0.142,149.844,0.227,https://api.spotify.com/v1/tracks/0IrEswfPqkHn7iGUoCDPAb
Here Comes The Drop,3y6JADmznQm9dJcLpzuBm8,0.00297,0.717,133333,0.941,3.1e-05,1,0.267,-3.52,1,0.13,125.98,0.301,https://api.spotify.com/v1/tracks/3y6JADmznQm9dJcLpzuBm8
Rockstar (feat. DV8),09pW7wXspkEkd8gjE93prk,0.000497,0.382,211403,0.973,0.0349,1,0.925,-5.749,1,0.139,127.528,0.0375,https://api.spotify.com/v1/tracks/09pW7wXspkEkd8gjE93prk
DNA.,6HZILIRieu8S0iqY8kIKhj,0.00454,0.638,185947,0.523,0.0,1,0.0842,-6.664,1,0.357,139.913,0.422,https://api.spotify.com/v1/tracks/6HZILIRieu8S0iqY8kIKhj
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,0.446,https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h
Dreams and Nightmares,42zd6DYQ4o4SECmTITrM1U,0.468,0.631,230693,0.774,0.0,11,0.281,-2.459,1,0.3,79.745,0.44,https://api.spotify.com/v1/tracks/42zd6DYQ4o4SECmTITrM1U
I Ain't Done,2xKTOaIAh0IJ92jXP4BX1P,0.0074,0.762,215061,0.533,0.00173,1,0.186,-9.154,1,0.0677,114.971,0.416,https://api.spotify.com/v1/tracks/2xKTOaIAh0IJ92jXP4BX1P
NO NAME,0djL9IcG5ppLXOwJ5e14oP,0.245,0.493,183827,0.785,0.0,2,0.168,-4.092,1,0.294,87.872,0.264,https://api.spotify.com/v1/tracks/0djL9IcG5ppLXOwJ5e14oP
Machine,5ftQSVAHs7iqULWKQn0fjK,0.0016,0.638,181880,0.679,0.00655,4,0.121,-5.278,1,0.0425,81.045,0.596,https://api.spotify.com/v1/tracks/5ftQSVAHs7iqULWKQn0fjK
Lucky You (feat. Joyner Lucas),60SdxE8apGAxMiRrpbmLY0,0.0627,0.876,244679,0.786,0.0,10,0.127,-4.884,0,0.306,153.068,0.575,https://api.spotify.com/v1/tracks/60SdxE8apGAxMiRrpbmLY0
Reggaeton,2D3z17LBMJ2HEHeBFFjTLi,0.0165,0.747,158800,0.74,9.94e-05,4,0.101,-4.325,0,0.191,176.059,0.552,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,0.591,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM
Rumors - R3HAB & Skytech vs. Marvelus Fame Remix,2rOU98Cy13yvifhme0Ovn5,0.0145,0.55,142800,0.9,0.0,10,0.322,-4.327,0,0.225,150.049,0.431,https://api.spotify.com/v1/tracks/2rOU98Cy13yvifhme0Ovn5
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,0.0114,0.901,127947,0.522,0.0,2,0.259,-8.304,1,0.33,104.053,0.329,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,0.342,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy
Lil Bebe - Remix,2Ynj5Hlnnnsqnxc6PuQY2o,0.0472,0.856,174693,0.485,0.0,5,0.108,-5.519,0,0.0591,136.019,0.0978,https://api.spotify.com/v1/tracks/2Ynj5Hlnnnsqnxc6PuQY2o
Money,2GGMabyHXnJmjY6CXhhB2e,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,0.219,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e
Bring It Back,3On0xk67ckVLs1qEpTF8mY,0.00167,0.762,165000,0.904,0.841,5,0.436,-4.064,1,0.0862,127.962,0.518,https://api.spotify.com/v1/tracks/3On0xk67ckVLs1qEpTF8mY
Timebomb Zone,2sifRHahNmhTR7a3BjKc9u,0.000328,0.524,204915,0.898,0.796,7,0.102,-6.543,1,0.0409,130.016,0.229,https://api.spotify.com/v1/tracks/2sifRHahNmhTR7a3BjKc9u
Bodies,1cqWEQ6TRfYr3SBNh7Ni2w,0.00212,0.613,202467,0.919,0.000584,4,0.104,-4.314,0,0.081,130.937,0.586,https://api.spotify.com/v1/tracks/1cqWEQ6TRfYr3SBNh7Ni2w
All Out Life,6vAQtUlYrzolE6SS9QCTs5,0.000683,0.499,340132,0.97,0.136,0,0.0871,-2.838,1,0.116,106.558,0.0506,https://api.spotify.com/v1/tracks/6vAQtUlYrzolE6SS9QCTs5
Ballin With a Check,2czHmNpQcywFsmp4YqfMNS,0.519,0.544,169545,0.709,0.0,1,0.196,-6.324,1,0.429,96.763,0.329,https://api.spotify.com/v1/tracks/2czHmNpQcywFsmp4YqfMNS
STOOPID,1jQvUmf16VE9WQCPuK2e8K,0.13,0.733,152000,0.63,0.0,11,0.162,-4.296,1,0.395,149.989,0.832,https://api.spotify.com/v1/tracks/1jQvUmf16VE9WQCPuK2e8K
Hammer Time,5QgQeBU5kzNL93xWBfAoj6,0.0486,0.788,214120,0.518,0.0,1,0.112,-5.837,1,0.154,152.0,0.243,https://api.spotify.com/v1/tracks/5QgQeBU5kzNL93xWBfAoj6
No Stylist,04MLEeAMuV9IlHEsD8vF6A,0.0215,0.765,192172,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,0.498,https://api.spotify.com/v1/tracks/04MLEeAMuV9IlHEsD8vF6A
Disrespectful,0mUP2phCdsDKpaCBAFXdjJ,0.0213,0.711,202752,0.548,6.35e-05,1,0.12,-8.176,1,0.0689,152.029,0.138,https://api.spotify.com/v1/tracks/0mUP2phCdsDKpaCBAFXdjJ
MVP - NGHTMRE Remix,2zeMc8pgpR1HRgMVCDUPYq,0.0289,0.625,166667,0.853,0.0,8,0.321,-5.709,0,0.119,144.023,0.352,https://api.spotify.com/v1/tracks/2zeMc8pgpR1HRgMVCDUPYq
Domino,3fnzyYG5Js7dOHUD2GyWnK,0.043,0.776,187034,0.85,0.000742,1,0.0997,-1.248,1,0.396,145.036,0.633,https://api.spotify.com/v1/tracks/3fnzyYG5Js7dOHUD2GyWnK
Teller,5tVq0uMGkUz5ld3AX3xdnS,0.0265,0.797,135915,0.433,0.0931,0,0.129,-10.701,0,0.345,140.09,0.08,https://api.spotify.com/v1/tracks/5tVq0uMGkUz5ld3AX3xdnS
"Runnin (with A$AP Rocky, A$AP Ferg & Nicki Minaj)",23dwrzeJtEEGl2U4CPWSor,0.17,0.545,131674,0.975,0.0,10,0.145,-3.193,0,0.454,123.906,0.609,https://api.spotify.com/v1/tracks/23dwrzeJtEEGl2U4CPWSor
Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,0.0311,0.885,195992,0.543,0.0,2,0.154,-6.338,1,0.2,99.026,0.43,https://api.spotify.com/v1/tracks/4hXDobvUaXyDFLnmecoY0z
DrIP DrIp Drip (feat. Meek Mill),39Bq9cOTO0H8M6P9iKLVdq,0.162,0.71,230440,0.814,0.0,10,0.16,-4.575,1,0.0561,155.02,0.714,https://api.spotify.com/v1/tracks/39Bq9cOTO0H8M6P9iKLVdq
WORKIN ME,4MAsYGSgxsaj73dC2lvFC4,0.205,0.792,169657,0.657,4.1e-06,8,0.196,-4.245,1,0.191,169.969,0.228,https://api.spotify.com/v1/tracks/4MAsYGSgxsaj73dC2lvFC4
Immigrant,7xV2KiZcW7oUCUyYWzrxnC,0.556,0.698,232853,0.835,0.0,1,0.209,-4.847,0,0.414,89.11,0.646,https://api.spotify.com/v1/tracks/7xV2KiZcW7oUCUyYWzrxnC
Killing In The Name,59WN2psjkt1tyaxjspN8fp,0.0266,0.466,313573,0.833,0.0,7,0.0327,-4.215,1,0.304,88.785,0.661,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp
Last Resort - The Rework,7poA10I15kvSUH6m44fQkS,0.000944,0.551,288000,0.962,0.000174,11,0.138,-3.856,0,0.237,155.104,0.512,https://api.spotify.com/v1/tracks/7poA10I15kvSUH6m44fQkS
Welcome to the Party (feat. Zhavia Ward) - Valentino Khan Remix,7LZNlFc0NH8RQBHUjYOW3n,0.12,0.702,165173,0.788,0.0,5,0.171,-1.455,0,0.251,163.903,0.645,https://api.spotify.com/v1/tracks/7LZNlFc0NH8RQBHUjYOW3n
Make Some Noise (feat. Mc Stik-E),1ZTyB3zva8PmFvv9QhJvre,0.00539,0.896,168439,0.812,0.017,1,0.0222,-4.498,1,0.102,130.014,0.476,https://api.spotify.com/v1/tracks/1ZTyB3zva8PmFvv9QhJvre
