,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Go Bang,415pd34peNClAFFl5jYwKt,0.0714,0.598,189093,0.893,0.0159,2,0.146,-3.072,1,0.0319,120.972,0.485,https://api.spotify.com/v1/tracks/415pd34peNClAFFl5jYwKt
One Kiss - Oliver Heldens Remix,4ukz1JJ5fcDNdzIQ9gYdpZ,0.251,0.717,281267,0.752,0.000468,0,0.0802,-6.933,1,0.065,123.97,0.14,https://api.spotify.com/v1/tracks/4ukz1JJ5fcDNdzIQ9gYdpZ
Run This Town (feat. Shenseea),5FMWSXfAfHAKwzXDekfEua,0.0227,0.707,170820,0.954,1.29e-06,7,0.214,-4.257,1,0.145,123.975,0.746,https://api.spotify.com/v1/tracks/5FMWSXfAfHAKwzXDekfEua
Tight,1CnMonW2jPjo4OvGEw6esf,0.0146,0.877,188188,0.857,0.015,1,0.0569,-3.74,0,0.126,124.015,0.822,https://api.spotify.com/v1/tracks/1CnMonW2jPjo4OvGEw6esf
Anthem (We Love House Music),7uObfbegIGow74NAVBCnRV,0.0778,0.67,157024,0.968,0.209,8,0.317,-2.515,0,0.056,125.991,0.399,https://api.spotify.com/v1/tracks/7uObfbegIGow74NAVBCnRV
BAD,6adDpX54Bz3rBkmI1FwnvL,0.00688,0.928,145769,0.679,0.332,9,0.318,-8.051,0,0.0461,124.006,0.967,https://api.spotify.com/v1/tracks/6adDpX54Bz3rBkmI1FwnvL
Operator (Ring Ring) [feat. Dances With White Girls],4oXT61OL4mDPRXbjq2d7b1,0.00195,0.778,361070,0.933,0.807,9,0.602,-5.719,1,0.214,124.993,0.535,https://api.spotify.com/v1/tracks/4oXT61OL4mDPRXbjq2d7b1
Creepin',0Cl2gCk2ILziZmllKGDcDl,0.00257,0.666,186964,0.768,0.00706,8,0.298,-4.858,1,0.0447,126.036,0.523,https://api.spotify.com/v1/tracks/0Cl2gCk2ILziZmllKGDcDl
Return Of The Mack - Oliver Heldens Radio Edit,2YY4brqo4Ggyr0IDoUOBRH,0.00289,0.623,194216,0.962,4.91e-05,0,0.345,-3.646,1,0.0987,124.961,0.753,https://api.spotify.com/v1/tracks/2YY4brqo4Ggyr0IDoUOBRH
"Runway - For Club Play Only, Pt. 5",3UCOxTSO17cTWgIwMxElUA,0.0681,0.832,160480,0.801,0.00786,8,0.105,-6.237,0,0.336,125.979,0.293,https://api.spotify.com/v1/tracks/3UCOxTSO17cTWgIwMxElUA
Later Bitches - Benny Benassi vs. MazZz & Constantin Remix,0osKLdw4eB0wlaBkky49yF,0.000663,0.746,213333,0.903,0.0756,5,0.114,-4.783,0,0.0796,126.02,0.648,https://api.spotify.com/v1/tracks/0osKLdw4eB0wlaBkky49yF
Otherside,3W5yGSGLfyrRDWEFu7lyWo,0.0172,0.542,190822,0.996,0.0777,4,0.614,-3.124,1,0.0623,125.949,0.263,https://api.spotify.com/v1/tracks/3W5yGSGLfyrRDWEFu7lyWo
BOOM,1yaISGEoawvX2l6cU7M13n,0.000767,0.794,154146,0.901,0.744,2,0.307,-3.843,1,0.0507,122.968,0.0915,https://api.spotify.com/v1/tracks/1yaISGEoawvX2l6cU7M13n
Renegade Mastah - Original Mix,1widDGzezTpdiQrol4JG5i,0.00139,0.736,243958,0.892,2.17e-05,1,0.0703,-4.323,1,0.0697,126.029,0.636,https://api.spotify.com/v1/tracks/1widDGzezTpdiQrol4JG5i
Do It Tonight,0vDQKw3EFYrDioaiwJM6qP,0.0231,0.648,126720,0.969,0.57,4,0.0693,-2.017,0,0.104,125.016,0.194,https://api.spotify.com/v1/tracks/0vDQKw3EFYrDioaiwJM6qP
Jalisco,0xaAxijxtuzHb67Ai1kouN,2.86e-05,0.813,296227,0.735,0.861,0,0.0741,-3.111,1,0.0345,124.003,0.469,https://api.spotify.com/v1/tracks/0xaAxijxtuzHb67Ai1kouN
I Love You,2GISbjz3wIJX7S4iv1XXAy,0.3,0.643,190987,0.868,0.0,0,0.119,-4.03,1,0.15,114.895,0.71,https://api.spotify.com/v1/tracks/2GISbjz3wIJX7S4iv1XXAy
Here Comes The Drop,3y6JADmznQm9dJcLpzuBm8,0.00297,0.717,133333,0.941,3.1e-05,1,0.267,-3.52,1,0.13,125.98,0.301,https://api.spotify.com/v1/tracks/3y6JADmznQm9dJcLpzuBm8
