,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Promises (with Sam Smith) - David Guetta Remix,3Lv3frZVXU7Q0JEFvLIzWW,0.186,0.588,190417,0.697,0.000219,3,0.103,-4.744,0,0.0372,125.157,0.225,https://api.spotify.com/v1/tracks/3Lv3frZVXU7Q0JEFvLIzWW
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,0.0469,0.684,210968,0.818,3.39e-06,4,0.119,-4.477,0,0.128,123.938,0.336,https://api.spotify.com/v1/tracks/1mC2UjWt25Oixtqu7C6suL
Happier - Breathe Carolina Remix,31OqWK8Lc6GnUbnLG3GqPX,0.00828,0.691,158095,0.924,3.8e-06,0,0.402,-3.839,1,0.0577,125.983,0.34,https://api.spotify.com/v1/tracks/31OqWK8Lc6GnUbnLG3GqPX
Electricity (feat. Dua Lipa) - MK Remix,6JhJ3Qiw7sWE74MmSTbwkK,0.000156,0.675,346880,0.894,0.00856,9,0.112,-4.982,0,0.0821,123.995,0.844,https://api.spotify.com/v1/tracks/6JhJ3Qiw7sWE74MmSTbwkK
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,6AZ21kPj2a0INgf3uCviVu,0.0611,0.69,187869,0.862,1.85e-05,2,0.238,-4.154,1,0.0944,121.975,0.453,https://api.spotify.com/v1/tracks/6AZ21kPj2a0INgf3uCviVu
Side Effects - Fedde Le Grand Remix,7FDaS1k08rwMoAThmzUkOZ,0.0382,0.633,172360,0.854,2.83e-05,0,0.434,-4.046,0,0.0432,126.026,0.659,https://api.spotify.com/v1/tracks/7FDaS1k08rwMoAThmzUkOZ
Done - Denis First Remix,38a0Pfg4YKQfjIDylBcvDr,0.142,0.712,192787,0.961,0.000243,7,0.365,-2.988,0,0.0701,122.03,0.779,https://api.spotify.com/v1/tracks/38a0Pfg4YKQfjIDylBcvDr
One Kiss - R3HAB Remix,3nq6U9gegH8vHh0WqfUtFL,0.158,0.59,190866,0.919,0.000214,9,0.0595,-3.314,0,0.146,126.926,0.133,https://api.spotify.com/v1/tracks/3nq6U9gegH8vHh0WqfUtFL
REMEDY,6jreFSOTUAViWjKyzOC4Kg,0.269,0.601,190295,0.775,0.0,0,0.0883,-4.612,1,0.0473,119.964,0.483,https://api.spotify.com/v1/tracks/6jreFSOTUAViWjKyzOC4Kg
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,0.591,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM
Rise - Retrovision Remix,749MvEtNXKsgfq5trXJUbk,0.15,0.721,190183,0.745,0.0,1,0.334,-4.31,1,0.127,125.088,0.541,https://api.spotify.com/v1/tracks/749MvEtNXKsgfq5trXJUbk
Creep On Me,1MUL6DO2gVimj2YrVedubd,0.347,0.449,194777,0.597,1.03e-05,9,0.197,-4.401,0,0.14,134.598,0.505,https://api.spotify.com/v1/tracks/1MUL6DO2gVimj2YrVedubd
Born To Be Yours,0WVAQaxrT0wsGEG4BCVSn2,0.3,0.688,193321,0.688,0.0,3,0.0982,-5.84,1,0.0357,114.011,0.451,https://api.spotify.com/v1/tracks/0WVAQaxrT0wsGEG4BCVSn2
Slow Down (with Calvin Harris),43tgC5pTYJpc5D3C9HRwEg,0.0855,0.853,205986,0.693,7.16e-05,0,0.11,-4.337,1,0.0524,124.049,0.547,https://api.spotify.com/v1/tracks/43tgC5pTYJpc5D3C9HRwEg
Jackie Chan - Sebastian Perez Remix,5pT2YfSaNwYsBPbIuBb0PE,0.00159,0.606,224640,0.913,0.0,3,0.0814,-5.88,0,0.0745,125.065,0.75,https://api.spotify.com/v1/tracks/5pT2YfSaNwYsBPbIuBb0PE
Crazy - Tomorrowland Intro Mix,7LsG4Z4C0vMIRjvyOBpAPB,0.0127,0.705,247680,0.816,0.00035,4,0.086,-9.946,0,0.103,125.075,0.0399,https://api.spotify.com/v1/tracks/7LsG4Z4C0vMIRjvyOBpAPB
1999 - Alphalove Remix,4f5eDYxh8jb0mKTY1AMFu9,0.0948,0.701,235729,0.898,0.0,11,0.305,-4.075,0,0.0346,123.989,0.845,https://api.spotify.com/v1/tracks/4f5eDYxh8jb0mKTY1AMFu9
Polaroid - CID & Jonas Blue Remix,1biXMfPhNqlBhY1Pu96bhh,0.0253,0.619,199506,0.909,0.00289,7,0.278,-4.984,0,0.0757,123.987,0.423,https://api.spotify.com/v1/tracks/1biXMfPhNqlBhY1Pu96bhh
Deep End - Eden Prince Remix,3K4ywyPCdpF9evoL7Z3z1b,0.0154,0.677,208096,0.848,0.00111,7,0.277,-6.14,0,0.0741,125.068,0.469,https://api.spotify.com/v1/tracks/3K4ywyPCdpF9evoL7Z3z1b
Lost In Japan - Remix,575NJxNUVDqwJGdzBrlLbv,0.0882,0.694,201253,0.852,0.0,7,0.334,-5.34,0,0.257,107.178,0.377,https://api.spotify.com/v1/tracks/575NJxNUVDqwJGdzBrlLbv
This Feeling - Young Bombs Remix,54eOmDg8gQNwl0rtr2l3Wo,0.201,0.531,176027,0.894,0.0,1,0.0479,-2.406,1,0.217,105.155,0.326,https://api.spotify.com/v1/tracks/54eOmDg8gQNwl0rtr2l3Wo
Jewel (feat. Nikki Vianna) - Dannic Remix,6i3Y7uDXkOSwPxaq56epPM,0.00529,0.527,211385,0.862,2.4e-05,11,0.13,-3.684,1,0.0457,130.081,0.348,https://api.spotify.com/v1/tracks/6i3Y7uDXkOSwPxaq56epPM
Waste It On Me (feat. BTS),2ADSy5e4g18TVnnkqsVRCv,0.252,0.669,192537,0.684,0.0,7,0.72,-4.595,1,0.0585,96.097,0.466,https://api.spotify.com/v1/tracks/2ADSy5e4g18TVnnkqsVRCv
Light Me Up (feat. The Griswolds),0Hv2DduES5Ta2IpD0ITZVq,0.00998,0.614,186290,0.922,0.0,0,0.127,-3.087,1,0.11,123.967,0.459,https://api.spotify.com/v1/tracks/0Hv2DduES5Ta2IpD0ITZVq
Switch - DEVAULT Remix,2TRAOLPQMvFM7kq8MHyizc,0.0253,0.347,229481,0.836,5.7e-05,9,0.305,-6.144,0,0.363,86.397,0.137,https://api.spotify.com/v1/tracks/2TRAOLPQMvFM7kq8MHyizc
Falls - Kaskade Remix,0zCDIm8MUx8zfPx3Y7IMgW,0.00986,0.461,224352,0.716,0.0,6,0.131,-5.462,1,0.0436,161.159,0.192,https://api.spotify.com/v1/tracks/0zCDIm8MUx8zfPx3Y7IMgW
Ocean (feat. Khalid) - Bart B More Remix,2Bs3q5N4EfJ1dWrFHWHpls,0.00577,0.679,185280,0.88,0.0875,3,0.0725,-5.462,1,0.053,125.005,0.582,https://api.spotify.com/v1/tracks/2Bs3q5N4EfJ1dWrFHWHpls
Northern Lights - BT Remix,4KS0cPAvOXf8D0j5wyT8uI,0.0304,0.566,295803,0.785,0.515,4,0.116,-8.173,0,0.0302,137.95,0.268,https://api.spotify.com/v1/tracks/4KS0cPAvOXf8D0j5wyT8uI
