,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Mo Bamba,3QybPutx0Tjk472bBKjNWn,0.268,0.738,180898,0.629,0.00114,6,0.163,-4.882,0,0.0495,146.067,0.319,https://api.spotify.com/v1/tracks/3QybPutx0Tjk472bBKjNWn
SICKO MODE - Skrillex Remix,0u695M7KyzXaPIjpEbxOkB,0.0184,0.636,304498,0.824,0.0,1,0.136,-3.426,1,0.139,155.056,0.452,https://api.spotify.com/v1/tracks/0u695M7KyzXaPIjpEbxOkB
Money,2GGMabyHXnJmjY6CXhhB2e,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,0.219,https://api.spotify.com/v1/tracks/2GGMabyHXnJmjY6CXhhB2e
"Big Bank feat. 2 Chainz, Big Sean, Nicki Minaj",2RM4jf1Xa9zPgMGRDiht8O,0.00582,0.743,238373,0.339,0.0,1,0.0812,-7.678,1,0.409,203.927,0.118,https://api.spotify.com/v1/tracks/2RM4jf1Xa9zPgMGRDiht8O
ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,0.071,0.826,225199,0.615,0.0,8,0.0965,-7.979,0,0.219,98.056,0.543,https://api.spotify.com/v1/tracks/7l3E7lcozEodtVsSTCkcaA
KIKA (feat. Tory Lanez),6Gy7rXB6Ku5vIWC7WGWsl3,0.128,0.745,136032,0.715,0.0,1,0.182,-3.368,0,0.245,94.513,0.342,https://api.spotify.com/v1/tracks/6Gy7rXB6Ku5vIWC7WGWsl3
REEL IT IN (feat. Gucci Mane) - Remix,4yVEpUXxYgBwfSOKGTFxv5,0.0675,0.78,166960,0.358,0.0,10,0.186,-8.941,0,0.0803,128.864,0.351,https://api.spotify.com/v1/tracks/4yVEpUXxYgBwfSOKGTFxv5
Taste (feat. Offset),5IaHrVsrferBYDm0bDyABy,0.0236,0.884,232959,0.559,0.0,0,0.101,-7.442,1,0.12,97.994,0.342,https://api.spotify.com/v1/tracks/5IaHrVsrferBYDm0bDyABy
"Never Recover (Lil Baby & Gunna, Drake)",6wWaVoUOzLQJHd3bWAUpdZ,0.0716,0.757,194732,0.69,0.0,1,0.192,-5.327,0,0.282,132.064,0.914,https://api.spotify.com/v1/tracks/6wWaVoUOzLQJHd3bWAUpdZ
Yea!!,1o8n563oEpZzCj4qTIJ0NM,0.000807,0.955,191213,0.691,0.0,1,0.138,-6.351,1,0.188,129.988,0.744,https://api.spotify.com/v1/tracks/1o8n563oEpZzCj4qTIJ0NM
Nonstop,2Vx8E3K5icPZR7OCklWBXX,0.0306,0.909,238613,0.405,0.00698,6,0.105,-8.133,0,0.14,154.984,0.455,https://api.spotify.com/v1/tracks/2Vx8E3K5icPZR7OCklWBXX
Twerk (feat. Cardi B),4DyBx5MYoq8RsU33cEAIxT,0.122,0.788,166476,0.841,0.0011,4,0.166,-4.006,0,0.143,190.089,0.493,https://api.spotify.com/v1/tracks/4DyBx5MYoq8RsU33cEAIxT
KANGA (feat. Kanye West),0EwS8XJQspgrj1zSUXhFkl,0.0192,0.901,132331,0.598,0.0,1,0.0791,-6.934,1,0.17,117.9,0.355,https://api.spotify.com/v1/tracks/0EwS8XJQspgrj1zSUXhFkl
Leave Me Alone,5vDvBD3ReINP8dXUplj477,0.107,0.792,195637,0.743,0.0,7,0.183,-2.806,1,0.0851,150.024,0.742,https://api.spotify.com/v1/tracks/5vDvBD3ReINP8dXUplj477
WORKIN ME,33tNYw9oMtSkGe27NpgS64,0.182,0.79,169620,0.629,7.06e-06,8,0.338,-4.055,1,0.142,170.023,0.267,https://api.spotify.com/v1/tracks/33tNYw9oMtSkGe27NpgS64
Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,0.00381,0.8,204665,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,0.367,https://api.spotify.com/v1/tracks/0QIjsbm2fh1cJ45XO9eGqq
I Love It (& Lil Pump),4S8d14HvHb70ImctNgVzQQ,0.0114,0.901,127947,0.522,0.0,2,0.259,-8.304,1,0.33,104.053,0.329,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ
Dip (feat. Nicki Minaj),4hXDobvUaXyDFLnmecoY0z,0.0311,0.885,195992,0.543,0.0,2,0.154,-6.338,1,0.2,99.026,0.43,https://api.spotify.com/v1/tracks/4hXDobvUaXyDFLnmecoY0z
No Stylist,04MLEeAMuV9IlHEsD8vF6A,0.0215,0.765,192172,0.704,0.0,5,0.227,-4.589,0,0.127,147.055,0.498,https://api.spotify.com/v1/tracks/04MLEeAMuV9IlHEsD8vF6A
Drip Too Hard,1BxkZE73h9BN3qwuA15TA3,0.0945,0.9,145603,0.653,0.0,1,0.528,-6.962,0,0.289,112.503,0.399,https://api.spotify.com/v1/tracks/1BxkZE73h9BN3qwuA15TA3
Kamikaze,1iPBD72u3nAyFEeardYuBV,0.301,0.792,139200,0.571,0.0,8,0.1,-7.539,0,0.094,99.999,0.556,https://api.spotify.com/v1/tracks/1iPBD72u3nAyFEeardYuBV
DrIP DrIp Drip (feat. Meek Mill),6SPYOjTjqvidDI24Hy9lwX,0.162,0.71,230440,0.814,0.0,10,0.16,-4.575,1,0.0561,155.02,0.714,https://api.spotify.com/v1/tracks/6SPYOjTjqvidDI24Hy9lwX
FEFE (feat. Nicki Minaj & Murda Beatz),2E124GmJRnBJuXbTb4cPUB,0.088,0.931,179405,0.387,0.0,1,0.136,-9.127,1,0.412,125.978,0.376,https://api.spotify.com/v1/tracks/2E124GmJRnBJuXbTb4cPUB
Transformer (feat. Nicki Minaj),2MfcvcvWSUkstTDZXYIakq,0.00151,0.753,196333,0.616,7.1e-06,2,0.291,-7.34,1,0.165,156.83,0.287,https://api.spotify.com/v1/tracks/2MfcvcvWSUkstTDZXYIakq
Uptown Vibes (feat. Fabolous & Anuel AA),5kTQa2G88tHnKB1Y6vNTyn,0.1,0.655,190955,0.814,0.0,1,0.401,-3.225,1,0.0487,90.997,0.142,https://api.spotify.com/v1/tracks/5kTQa2G88tHnKB1Y6vNTyn
"Save All That Love (feat. Mozzy, Mistah F.A.B. & Nef The Pharaoh)",2hCsQb0CB2zk6L4tFzX0vQ,0.049,0.661,212451,0.916,0.0,0,0.0997,-6.032,0,0.248,95.989,0.776,https://api.spotify.com/v1/tracks/2hCsQb0CB2zk6L4tFzX0vQ
Praise The Lord (Da Shine),7ycWLEP1GsNjVvcjawXz3z,0.0609,0.85,205040,0.569,0.0816,5,0.1,-8.152,0,0.136,80.02,0.294,https://api.spotify.com/v1/tracks/7ycWLEP1GsNjVvcjawXz3z
