,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,0.492,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4
Let It Be Me (feat. Ava Max),2F83FxNVkK6PPMHuYnwyVc,0.128,0.743,172933,0.529,0.0,7,0.181,-6.187,0,0.0505,102.048,0.438,https://api.spotify.com/v1/tracks/2F83FxNVkK6PPMHuYnwyVc
Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,0.237,0.67,218293,0.743,0.0,10,0.465,-4.993,1,0.0393,125.944,0.571,https://api.spotify.com/v1/tracks/78nplE9X2ZGvQh3TKgvldE
Dancing in the Moonlight,5ow0sNF1zSqp71Ix5jEXWU,0.27,0.659,164010,0.617,0.0,11,0.187,-5.862,0,0.0649,119.858,0.187,https://api.spotify.com/v1/tracks/5ow0sNF1zSqp71Ix5jEXWU
True Colors (feat. Maya Avedis),4AMY0oGSt7vZwgxDnHCJBr,0.0796,0.636,184020,0.63,0.0,0,0.13,-6.396,1,0.0346,104.845,0.454,https://api.spotify.com/v1/tracks/4AMY0oGSt7vZwgxDnHCJBr
Beach House,0N8MGHEDAq29ip7RrlrTeN,0.19,0.537,206120,0.837,0.0,0,0.348,-4.477,1,0.039,90.083,0.533,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN
Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim
Whenever (feat. Conor Maynard),3DGar7krWlmrXRFHBcQF6z,0.151,0.734,163636,0.765,0.0,7,0.231,-5.562,1,0.0621,109.989,0.518,https://api.spotify.com/v1/tracks/3DGar7krWlmrXRFHBcQF6z
Till You Drop,7aBJzGAuCYJ8r5YEaBpyOH,0.0681,0.538,226581,0.795,0.0,7,0.164,-4.491,1,0.0816,169.949,0.608,https://api.spotify.com/v1/tracks/7aBJzGAuCYJ8r5YEaBpyOH
Polaroid,1wsLHgXJ4SKIfd5ePSX1hD,0.293,0.652,193377,0.897,0.0,7,0.0722,-4.481,0,0.036,114.033,0.475,https://api.spotify.com/v1/tracks/1wsLHgXJ4SKIfd5ePSX1hD
SOLO,2wVDWtLKXunswWecARNILj,0.128,0.681,168461,0.666,0.0,3,0.127,-5.264,0,0.162,95.028,0.413,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj
Summer Love,3yPe9q1JY5Jlx7yrkGquWX,0.148,0.558,257920,0.734,0.00523,1,0.251,-6.262,1,0.0478,159.97,0.285,https://api.spotify.com/v1/tracks/3yPe9q1JY5Jlx7yrkGquWX
Happy Kids,3nVJ4tGeLFR6HUiz3e7qAe,0.0105,0.603,177209,0.649,0.0,11,0.243,-5.848,1,0.0476,124.073,0.672,https://api.spotify.com/v1/tracks/3nVJ4tGeLFR6HUiz3e7qAe
No Drama (feat. Craig David),6IIOcnq93QAaKeRX1cs16v,0.168,0.73,153310,0.934,2.56e-05,4,0.142,-3.995,1,0.078,122.018,0.758,https://api.spotify.com/v1/tracks/6IIOcnq93QAaKeRX1cs16v
3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,0.123,0.703,184080,0.748,0.0,1,0.0642,-6.047,1,0.0435,111.943,0.625,https://api.spotify.com/v1/tracks/2jZIfoe48eUeOEnP9Ho4h2
Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,0.643,https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i
Only Love,7DSBxP0sGTuEb249LMJSLY,0.0658,0.647,172222,0.81,0.00236,2,0.237,-5.804,1,0.0521,108.011,0.648,https://api.spotify.com/v1/tracks/7DSBxP0sGTuEb249LMJSLY
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,0.492,https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA
Dreamer,0wUxh6XMc698xPCfgBaPRV,0.0507,0.532,193399,0.639,0.00131,5,0.106,-7.419,0,0.0388,105.0,0.198,https://api.spotify.com/v1/tracks/0wUxh6XMc698xPCfgBaPRV
Perfect To Me,0DC7Zs2qvAbNK1owWQ4mlL,0.0889,0.604,197853,0.546,0.0,8,0.0734,-5.691,1,0.151,179.847,0.402,https://api.spotify.com/v1/tracks/0DC7Zs2qvAbNK1owWQ4mlL
Happy Now,4keoy2fqgwGnbWlm3ZVZFa,0.579,0.503,207030,0.741,1.49e-06,4,0.0712,-5.128,1,0.047,88.335,0.458,https://api.spotify.com/v1/tracks/4keoy2fqgwGnbWlm3ZVZFa
Somebody,6iMoJ3UdrO2ZjzzcaN8Eom,0.0938,0.675,238667,0.849,0.0,0,0.121,-3.841,1,0.0675,100.111,0.681,https://api.spotify.com/v1/tracks/6iMoJ3UdrO2ZjzzcaN8Eom
This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,0.0558,0.575,197947,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,0.449,https://api.spotify.com/v1/tracks/15kQGEy89K8deJcZVFEn0N
Party For One,39YLC6osLe9btq1vpsDglx,0.0371,0.685,183894,0.638,0.0,6,0.0987,-6.539,1,0.0367,123.442,0.414,https://api.spotify.com/v1/tracks/39YLC6osLe9btq1vpsDglx
