,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Love Yourself,50kpGaPAhYJ3sGmk6vplg0,0.856,0.607,233720,0.376,0.0,4,0.285,-9.954,1,0.453,102.541,0.545
Black Magic,5y6pj7OeBFF0CVgZKhRbOG,0.0348,0.777,211773,0.895,0.0,4,0.317,-4.464,1,0.0618,111.987,0.826
Never Forget You,6v4F5IaKUITBPzt2wztoiZ,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,0.276
How Deep Is Your Love,22mek4IiqubGD9ctzxc69s,0.0389,0.738,212640,0.868,0.00171,11,0.388,-4.373,0,0.0731,122.003,0.336
Thinking Out Loud,2L6ypr3l5t5mLkY3lXIpZE,0.474,0.781,281560,0.445,0.0,2,0.184,-6.061,1,0.0295,78.998,0.591
Where Are Ü Now (with Justin Bieber),66hayvUbTotekKU3H4ta1f,0.041,0.432,250286,0.781,4.21e-06,4,0.0789,-4.038,0,0.0567,139.432,0.197
Unforgettable,3B54sVLJ402zGa6Xm4YGNe,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,0.733
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd,0.106,0.444,187973,0.819,0.0,10,0.107,-4.078,0,0.341,82.695,0.747
Lush Life,0r4SsYcwvd8URat6AS2m6f,0.133,0.694,201122,0.712,0.0,7,0.211,-3.923,0,0.046,98.022,0.799
Treat You Better,3AFfyUXTfj12PgrOkZiiJo,0.13,0.748,187973,0.819,0.0,10,0.111,-4.032,0,0.198,110.645,0.792
Can't Feel My Face,22VdIZQfgXJea34mQxlt81,0.112,0.705,213520,0.769,0.0,9,0.105,-5.526,0,0.0426,107.939,0.59
Paradise,6nek1Nin9q48AVZcWs9e9D,0.0522,0.449,278719,0.585,8.49e-05,5,0.0833,-6.762,1,0.0268,139.627,0.203
