,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Never Forget You,6WLS56xiRrXjSm9RSdL3zD,0.00312,0.583,213428,0.732,9.86e-06,11,0.269,-5.728,0,0.0457,145.992,0.276,https://api.spotify.com/v1/tracks/6WLS56xiRrXjSm9RSdL3zD
FRIENDS,08bNPGLD8AhKpnnERrAc6G,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,0.534,https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G
Girls Like You (feat. Cardi B),6V1bu6o1Yo5ZXnsCJU8Ovk,0.568,0.851,235545,0.541,0.0,0,0.13,-6.825,1,0.0505,124.959,0.448,https://api.spotify.com/v1/tracks/6V1bu6o1Yo5ZXnsCJU8Ovk
The Middle,2ARqIya5NAuvFVHSN3bL0m,0.208,0.748,184732,0.652,0.0,7,0.128,-3.02,1,0.058,106.914,0.431,https://api.spotify.com/v1/tracks/2ARqIya5NAuvFVHSN3bL0m
Strip That Down,4Ro98RCK90oHqqSZUnTFq5,0.22,0.874,204502,0.497,0.0,6,0.0761,-5.484,1,0.0562,106.023,0.542,https://api.spotify.com/v1/tracks/4Ro98RCK90oHqqSZUnTFq5
IDGAF,76cy1WJvNGJTj78UqeA5zr,0.0403,0.836,217947,0.544,0.0,7,0.0824,-5.975,1,0.0943,97.028,0.51,https://api.spotify.com/v1/tracks/76cy1WJvNGJTj78UqeA5zr
Lucid Dreams,0s3nnoMeVWz3989MkNQiRf,0.349,0.511,239836,0.566,0.0,6,0.34,-7.23,0,0.2,83.903,0.218,https://api.spotify.com/v1/tracks/0s3nnoMeVWz3989MkNQiRf
Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,0.0472,0.628,211667,0.698,0.00143,6,0.0907,-5.608,0,0.105,89.976,0.732,https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j
Youngblood,2iUXsYOEPhVqEBwsqP70rE,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,0.152,https://api.spotify.com/v1/tracks/2iUXsYOEPhVqEBwsqP70rE
Better Now,7dt6x5M1jzdTEt8oCbisTK,0.354,0.68,231267,0.563,0.0,10,0.136,-5.843,1,0.0454,145.028,0.374,https://api.spotify.com/v1/tracks/7dt6x5M1jzdTEt8oCbisTK
What Lovers Do (feat. SZA),04JL2liXXV9B9coeGuUsPw,0.0767,0.796,199849,0.606,2.99e-06,5,0.0863,-5.254,0,0.0657,110.007,0.42,https://api.spotify.com/v1/tracks/04JL2liXXV9B9coeGuUsPw
Closer,7BKLCZ1jbUBVqRi2FVlTVw,0.414,0.748,244960,0.524,0.0,8,0.111,-5.599,1,0.0338,95.01,0.661,https://api.spotify.com/v1/tracks/7BKLCZ1jbUBVqRi2FVlTVw
Let You Down,6mrKP2jyIQmM0rw6fQryjr,0.33,0.659,212120,0.716,0.0,5,0.173,-5.673,0,0.111,148.015,0.437,https://api.spotify.com/v1/tracks/6mrKP2jyIQmM0rw6fQryjr
In the Name of Love,23L5CiUhw2jV1OIMwthR3S,0.109,0.501,195707,0.519,0.0,4,0.454,-5.88,0,0.0409,133.99,0.168,https://api.spotify.com/v1/tracks/23L5CiUhw2jV1OIMwthR3S
I Took A Pill In Ibiza - Seeb Remix,17Fd6Yb7mSbinKG8LoWfFl,0.0353,0.663,197933,0.713,7.68e-06,7,0.0843,-6.647,0,0.112,101.965,0.69,https://api.spotify.com/v1/tracks/17Fd6Yb7mSbinKG8LoWfFl
no tears left to cry,2qT1uLXPVPzGgFOx4jtEuo,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,0.354,https://api.spotify.com/v1/tracks/2qT1uLXPVPzGgFOx4jtEuo
New Rules,2ekn2ttSfGqwhhate0LSR0,0.00261,0.762,209320,0.7,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,0.608,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0
I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,0.535,0.752,197437,0.505,2.55e-06,9,0.104,-7.621,1,0.253,91.97,0.419,https://api.spotify.com/v1/tracks/1wjzFQodRWrPcQ0AnYnvQ9
I'm the One,72Q0FQQo32KJloivv5xge2,0.0533,0.599,288877,0.667,0.0,7,0.134,-4.267,1,0.0367,80.984,0.817,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2
Work from Home,4tCtwWceOPWzenK2HAIJSb,0.103,0.803,214480,0.585,3.94e-06,8,0.0644,-5.861,1,0.0432,105.017,0.593,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb
Stay (with Alessia Cara),6uBhi9gBXWjanegOb2Phh0,0.253,0.69,210091,0.622,0.0,5,0.116,-5.025,0,0.0622,102.04,0.544,https://api.spotify.com/v1/tracks/6uBhi9gBXWjanegOb2Phh0
Young Dumb & Broke,5Z3GHaZ6ec9bsiI5BenrbY,0.199,0.798,202547,0.539,1.66e-05,1,0.165,-6.351,1,0.0421,136.949,0.394,https://api.spotify.com/v1/tracks/5Z3GHaZ6ec9bsiI5BenrbY
Light It Up (feat. Nyla & Fuse ODG) - Remix,6lDo13SSgTv0WbyUQKgnjk,0.0369,0.736,166138,0.879,0.000736,9,0.233,-3.782,0,0.0696,107.976,0.757,https://api.spotify.com/v1/tracks/6lDo13SSgTv0WbyUQKgnjk
2002,2BgEsaKNfHUdlh97KmvFyo,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,0.603,https://api.spotify.com/v1/tracks/2BgEsaKNfHUdlh97KmvFyo
"Let Me Go (with Alesso, Florida Georgia Line & watt)",5AEtlRudpgdT5FtNiuly6Y,0.0393,0.659,174800,0.717,0.0,8,0.0769,-4.202,1,0.0581,103.036,0.71,https://api.spotify.com/v1/tracks/5AEtlRudpgdT5FtNiuly6Y
Mi Gente,4xEnPbulgQ4J4vu78VEwVr,0.0178,0.548,189029,0.701,1.34e-05,11,0.134,-4.862,0,0.0914,104.237,0.309,https://api.spotify.com/v1/tracks/4xEnPbulgQ4J4vu78VEwVr
Hymn For The Weekend - Seeb Remix,6s3GEN8wK0OMzzzZbXj0fu,0.00868,0.565,212647,0.849,4.68e-06,0,0.12,-3.516,0,0.0517,102.034,0.427,https://api.spotify.com/v1/tracks/6s3GEN8wK0OMzzzZbXj0fu
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU,0.0771,0.652,205947,0.713,1.02e-05,8,0.144,-5.311,1,0.0368,100.023,0.152,https://api.spotify.com/v1/tracks/0lYBSQXN6rCTvUZvg9S0lU
Pretty Girl - Cheat Codes X CADE Remix,39IsH7B5byx8NRlEKlZVg9,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,0.733,https://api.spotify.com/v1/tracks/39IsH7B5byx8NRlEKlZVg9
Call on Me - Ryan Riback Remix,2L6orAlH8tBhiFTumIfMyF,0.0604,0.67,222041,0.838,0.000611,0,0.159,-4.031,1,0.0362,104.998,0.717,https://api.spotify.com/v1/tracks/2L6orAlH8tBhiFTumIfMyF
"Me, Myself & I",40YcuQysJ0KlGQTeGUosTC,0.0186,0.757,251467,0.672,0.0,0,0.158,-6.524,0,0.0955,111.996,0.382,https://api.spotify.com/v1/tracks/40YcuQysJ0KlGQTeGUosTC
Weak,45iMRHmfLZu3yjdZ8P5e3t,0.127,0.672,202194,0.642,0.0,5,0.137,-4.552,1,0.0461,123.984,0.656,https://api.spotify.com/v1/tracks/45iMRHmfLZu3yjdZ8P5e3t
Shape of You,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,0.931,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3
Cold Water,7zsXy7vlHdItvUSH8EwQss,0.055,0.602,185360,0.797,0.0,6,0.187,-5.084,0,0.0534,92.928,0.492,https://api.spotify.com/v1/tracks/7zsXy7vlHdItvUSH8EwQss
