,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Where Have You Gone (Anywhere),3zECQWhwAEydeK9jUTPamo,0.00552,0.618,158602,0.767,0.0,5,0.147,-5.024,1,0.0489,124.071,0.239,https://api.spotify.com/v1/tracks/3zECQWhwAEydeK9jUTPamo
Back & Forth,4M8x1TR36VMQMFMbGCdoyA,0.0181,0.684,196215,0.816,0.0,10,0.0222,-5.211,0,0.0322,121.993,0.702,https://api.spotify.com/v1/tracks/4M8x1TR36VMQMFMbGCdoyA
High On Life (feat. Bonn),4ut5G4rgB1ClpMTMfjoIuy,0.0129,0.414,230762,0.486,0.0,6,0.111,-6.431,0,0.0311,128.038,0.368,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy
Panic Room,3MkuFR7t25mu7Iscp6GGiV,0.0259,0.578,214483,0.883,0.0706,10,0.118,-6.423,1,0.0298,122.987,0.255,https://api.spotify.com/v1/tracks/3MkuFR7t25mu7Iscp6GGiV
Electricity (with Dua Lipa),5N4erncE7kuUccm7zEmwzk,0.0104,0.588,238173,0.67,3.33e-06,0,0.338,-6.439,1,0.0473,118.159,0.505,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk
Feel My Needs (Turn Around),05Gqos5iV5LkjGcxmBV9C8,0.00916,0.695,181000,0.848,0.109,3,0.12,-6.068,0,0.0506,122.028,0.797,https://api.spotify.com/v1/tracks/05Gqos5iV5LkjGcxmBV9C8
Drive (feat. Delilah Montagu),6lXPxNJVBoIRUitMJZw64Y,0.00163,0.711,186093,0.829,0.0125,11,0.0809,-7.37,0,0.037,118.021,0.435,https://api.spotify.com/v1/tracks/6lXPxNJVBoIRUitMJZw64Y
Losing It,05LvE6ySn6hEcHdAJ7N19z,0.00182,0.76,248036,0.964,0.7,2,0.0974,-5.844,1,0.0576,125.0,0.641,https://api.spotify.com/v1/tracks/05LvE6ySn6hEcHdAJ7N19z
Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,0.492,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4
Giving Up (feat. Jaden Michaels),7ew2yVscivQRemp0MPPWtS,0.0447,0.484,249987,0.806,4.48e-05,10,0.333,-6.095,0,0.127,145.127,0.417,https://api.spotify.com/v1/tracks/7ew2yVscivQRemp0MPPWtS
Jackie Chan - Bolier Remix,2gEsFZiCm60DnyysTest9L,0.0362,0.705,195840,0.937,0.000271,3,0.178,-3.868,0,0.0963,124.999,0.786,https://api.spotify.com/v1/tracks/2gEsFZiCm60DnyysTest9L
Promises - David Guetta Remix,5plG80hc7j4siXDhcUamjU,0.186,0.588,190417,0.697,0.000219,3,0.103,-4.744,0,0.0372,125.157,0.225,https://api.spotify.com/v1/tracks/5plG80hc7j4siXDhcUamjU
In My Mind (feat. Georgi Kay) - Axwell Radio Edit,2tW2Kn1IGFFVfRVnQE2UaQ,0.0435,0.51,185625,0.831,3.14e-06,7,0.346,-4.514,0,0.0606,128.025,0.376,https://api.spotify.com/v1/tracks/2tW2Kn1IGFFVfRVnQE2UaQ
Fire In My Soul (feat. Shungudzo),0M0FvSNRZmDz0Z769rewlI,0.206,0.592,175254,0.977,0.000103,6,0.0703,-3.389,1,0.312,126.178,0.496,https://api.spotify.com/v1/tracks/0M0FvSNRZmDz0Z769rewlI
Turn off the Lights (feat. Alexis Roberts),29vo9RUjxgZWXWGTpD8f4m,0.0467,0.824,210547,0.745,3.29e-05,11,0.198,-5.49,0,0.0755,125.013,0.888,https://api.spotify.com/v1/tracks/29vo9RUjxgZWXWGTpD8f4m
WOW,4gxukDJiwApNEgVIh4pHgT,0.00116,0.601,148125,0.99,0.52,6,0.124,-3.016,1,0.337,127.958,0.192,https://api.spotify.com/v1/tracks/4gxukDJiwApNEgVIh4pHgT
Sun In Our Eyes - Don Diablo Remix,1Cfws8y490Zpsqsyeme6V1,0.0589,0.699,206453,0.861,2.64e-06,4,0.0794,-3.09,0,0.173,125.942,0.315,https://api.spotify.com/v1/tracks/1Cfws8y490Zpsqsyeme6V1
Tears In Your Eyes,4xs3eeuZb1WofrjlUp65QP,0.0469,0.638,215125,0.773,0.000172,11,0.313,-5.849,0,0.0795,119.984,0.353,https://api.spotify.com/v1/tracks/4xs3eeuZb1WofrjlUp65QP
Dancing Alone - BROHUG Remix,5oOwyIYnBB7qPi6AwN8d5w,0.105,0.615,215040,0.948,0.0,8,0.538,-3.822,0,0.283,124.981,0.597,https://api.spotify.com/v1/tracks/5oOwyIYnBB7qPi6AwN8d5w
Wanderlust,4DRXA3mohweU9tE7VugYdp,0.0923,0.558,238049,0.561,0.000231,9,0.117,-5.003,1,0.0376,122.936,0.126,https://api.spotify.com/v1/tracks/4DRXA3mohweU9tE7VugYdp
These Heights (feat. Caroline Pennell),1LFT9QfD13yS96njon1w49,0.0543,0.416,184947,0.772,0.0,0,0.359,-4.965,1,0.13,121.215,0.233,https://api.spotify.com/v1/tracks/1LFT9QfD13yS96njon1w49
Heaven To Me,1kU6Ypa94r15TPdXiCPwqS,0.147,0.688,175402,0.924,4.68e-06,11,0.949,-2.762,0,0.0851,125.995,0.507,https://api.spotify.com/v1/tracks/1kU6Ypa94r15TPdXiCPwqS
Le Freak (Oliver Heldens Remix),6pytDoBX1HFvOfhOL5H5hk,0.00942,0.859,232523,0.757,0.0377,7,0.105,-6.005,1,0.0736,124.986,0.563,https://api.spotify.com/v1/tracks/6pytDoBX1HFvOfhOL5H5hk
Treat You Better - Single Edit,5lzHDkFLN01bKatvKQC0lO,0.217,0.625,218306,0.576,2.85e-06,8,0.0897,-5.812,1,0.036,121.915,0.297,https://api.spotify.com/v1/tracks/5lzHDkFLN01bKatvKQC0lO
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,0.033,0.775,191496,0.872,0.0579,6,0.298,-4.194,1,0.0469,122.994,0.379,https://api.spotify.com/v1/tracks/5sdb5pMhcK44SSLsj1moUh
17 - 6am Remix,6R3PciZdMvvkQGkhpdeL1k,0.00393,0.71,263888,0.625,0.471,8,0.318,-8.331,1,0.0346,120.023,0.139,https://api.spotify.com/v1/tracks/6R3PciZdMvvkQGkhpdeL1k
Who We Are?,2xrBweGrrKfLIUD5dceWiB,0.116,0.479,215488,0.919,0.000139,0,0.152,-3.443,1,0.153,127.001,0.388,https://api.spotify.com/v1/tracks/2xrBweGrrKfLIUD5dceWiB
Dished (Male Stripper),2pe0COHvmpJVsddI9tN3oe,0.0347,0.77,253171,0.932,0.906,8,0.0597,-4.895,1,0.0313,122.999,0.393,https://api.spotify.com/v1/tracks/2pe0COHvmpJVsddI9tN3oe
Neon Sky,79ep1XDpYKg0goDd3g5uPT,0.341,0.562,196615,0.871,1.47e-06,0,0.351,-4.788,1,0.0646,130.043,0.351,https://api.spotify.com/v1/tracks/79ep1XDpYKg0goDd3g5uPT
Happier - Breathe Carolina Remix,31OqWK8Lc6GnUbnLG3GqPX,0.00828,0.691,158095,0.924,3.8e-06,0,0.402,-3.839,1,0.0577,125.983,0.34,https://api.spotify.com/v1/tracks/31OqWK8Lc6GnUbnLG3GqPX
Just You & I,3h6o86y22SoLnFbqIcW48N,0.0265,0.591,205161,0.835,2.4e-06,9,0.0944,-3.149,1,0.0371,123.982,0.64,https://api.spotify.com/v1/tracks/3h6o86y22SoLnFbqIcW48N
Body,2QOSMLaEJkkeezSMZ75yB8,0.0476,0.752,163216,0.764,9.44e-05,1,0.0543,-4.399,1,0.038,121.958,0.582,https://api.spotify.com/v1/tracks/2QOSMLaEJkkeezSMZ75yB8
No Captain - Dirty South Remix,0CEIJwqzXmmWNKDV8NFw60,0.14,0.626,347213,0.755,0.386,6,0.0938,-10.491,0,0.0337,122.008,0.372,https://api.spotify.com/v1/tracks/0CEIJwqzXmmWNKDV8NFw60
Do It Again,5VIHM44vAtlPVGwKJBR29p,0.0176,0.575,194099,0.954,0.0506,1,0.0611,-3.093,0,0.0442,124.978,0.0882,https://api.spotify.com/v1/tracks/5VIHM44vAtlPVGwKJBR29p
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,1mC2UjWt25Oixtqu7C6suL,0.0469,0.684,210968,0.818,3.39e-06,4,0.119,-4.477,0,0.128,123.938,0.336,https://api.spotify.com/v1/tracks/1mC2UjWt25Oixtqu7C6suL
Body 2 Body,74uLdQgxM2KQGalLpVfRb8,0.0185,0.439,192787,0.642,0.0,0,0.181,-4.8,1,0.0445,121.502,0.304,https://api.spotify.com/v1/tracks/74uLdQgxM2KQGalLpVfRb8
AGEN WIDA,35V6qXUDCvwZdmbKe5PlPG,0.0114,0.784,199048,0.913,0.00162,1,0.0831,-1.208,1,0.177,126.054,0.59,https://api.spotify.com/v1/tracks/35V6qXUDCvwZdmbKe5PlPG
Another Chance (Don Diablo Edit),1VTvqPZc50yS6MiWw520Kh,0.00272,0.584,172381,0.959,0.0,9,0.553,-1.785,0,0.0942,125.987,0.0729,https://api.spotify.com/v1/tracks/1VTvqPZc50yS6MiWw520Kh
One Kiss - Oliver Heldens Remix,4dHuU8wSvtek4sxRGoDLpf,0.251,0.717,281267,0.752,0.000468,0,0.0802,-6.933,1,0.065,123.97,0.14,https://api.spotify.com/v1/tracks/4dHuU8wSvtek4sxRGoDLpf
SILLAGE,01p0P5yMqqXmUEKS6ok1be,0.121,0.701,203347,0.933,0.924,7,0.0842,-5.35,0,0.0407,123.992,0.726,https://api.spotify.com/v1/tracks/01p0P5yMqqXmUEKS6ok1be
Horizon,2EjoFmDw6IiBhoneqoISAL,0.00511,0.545,214625,0.916,0.0,5,0.683,-2.686,1,0.0459,132.048,0.3,https://api.spotify.com/v1/tracks/2EjoFmDw6IiBhoneqoISAL
Tim,4wmrfUPuvK9phVehREZZ1X,0.00909,0.25,226875,0.909,0.848,4,0.136,-5.407,1,0.0414,128.025,0.322,https://api.spotify.com/v1/tracks/4wmrfUPuvK9phVehREZZ1X
Feel It,16Nn250i641b9l7uGQF1WW,0.00168,0.538,181935,0.904,0.637,10,0.538,-4.58,1,0.0551,123.989,0.0731,https://api.spotify.com/v1/tracks/16Nn250i641b9l7uGQF1WW
Ocean (feat. Khalid) - Don Diablo Remix,4oOQ5XZuR4ywDje9SjiA7d,0.0777,0.706,202927,0.882,0.0169,8,0.61,-4.209,1,0.0637,122.932,0.215,https://api.spotify.com/v1/tracks/4oOQ5XZuR4ywDje9SjiA7d
Go Bang,0B6DcuwyubDDbomysc57KC,0.0714,0.598,189093,0.893,0.0159,2,0.146,-3.072,1,0.0319,120.972,0.485,https://api.spotify.com/v1/tracks/0B6DcuwyubDDbomysc57KC
Love Is Love - MOTi Remix,1jrglGtvZZdI03vvyLmKZt,0.492,0.621,181000,0.842,0.0,5,0.27,-4.886,1,0.158,119.761,0.55,https://api.spotify.com/v1/tracks/1jrglGtvZZdI03vvyLmKZt
Otherside,3W5yGSGLfyrRDWEFu7lyWo,0.0172,0.542,190822,0.996,0.0777,4,0.614,-3.124,1,0.0623,125.949,0.263,https://api.spotify.com/v1/tracks/3W5yGSGLfyrRDWEFu7lyWo
"Survive (feat. Emeli Sandé, Gucci Mane) - VIP Mix",6XNh2NUU7lZDzo77l7yr1X,0.124,0.675,180638,0.888,0.0248,3,0.076,-3.473,0,0.0967,123.919,0.439,https://api.spotify.com/v1/tracks/6XNh2NUU7lZDzo77l7yr1X
Deep End - Eden Prince Remix,3K4ywyPCdpF9evoL7Z3z1b,0.0154,0.677,208096,0.848,0.00111,7,0.277,-6.14,0,0.0741,125.068,0.469,https://api.spotify.com/v1/tracks/3K4ywyPCdpF9evoL7Z3z1b
First Time,27YD36FUikKxbp3bKSiKGZ,0.251,0.422,297782,0.677,3.55e-06,11,0.16,-5.76,1,0.0365,150.131,0.146,https://api.spotify.com/v1/tracks/27YD36FUikKxbp3bKSiKGZ
