,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Buffalo Soldier,48HwknWByfac0fdNyYyQDg,0.137,0.932,257440,0.462,7.91e-06,9,0.0654,-8.664,1,0.284,124.122,0.749,https://api.spotify.com/v1/tracks/48HwknWByfac0fdNyYyQDg
Break Us Apart,6NvTJWYPQ5RnLgmOK4spzq,0.0371,0.66,225333,0.603,0.0,9,0.174,-5.816,0,0.438,122.161,0.687,https://api.spotify.com/v1/tracks/6NvTJWYPQ5RnLgmOK4spzq
54-46 Was My Number,0Mv4w87XU3HtV412slUc1r,0.158,0.68,190493,0.373,1.47e-05,0,0.0725,-7.26,1,0.137,160.798,0.677,https://api.spotify.com/v1/tracks/0Mv4w87XU3HtV412slUc1r
Natty Rebel - Remaster 1990,5FgdPuK51WBYhuMhV0XIBg,0.0615,0.813,211960,0.395,6.72e-06,0,0.0923,-11.573,1,0.0721,83.117,0.783,https://api.spotify.com/v1/tracks/5FgdPuK51WBYhuMhV0XIBg
One Good Spliff,0URS9f6Ck8mzhou6AMNCr5,0.497,0.617,233918,0.464,7.08e-06,2,0.0759,-11.918,1,0.142,107.982,0.613,https://api.spotify.com/v1/tracks/0URS9f6Ck8mzhou6AMNCr5
Pressure Drop,55A8N3HXzIecctUSvru3Ch,0.0503,0.605,177440,0.641,0.0,8,0.121,-8.291,1,0.0446,146.84,0.972,https://api.spotify.com/v1/tracks/55A8N3HXzIecctUSvru3Ch
Welcome To Jamrock,2e5Vm6VvdlTzuNcRSikeU6,0.0208,0.835,213200,0.661,0.0,7,0.449,-6.502,0,0.333,76.723,0.753,https://api.spotify.com/v1/tracks/2e5Vm6VvdlTzuNcRSikeU6
Cool Runnings,70A4fwnfHIok2WsdKY7X0P,0.0337,0.852,234800,0.564,0.0,7,0.0546,-6.409,0,0.181,73.241,0.766,https://api.spotify.com/v1/tracks/70A4fwnfHIok2WsdKY7X0P
Sun Is Shining,05M9Tg0rDCppaut5HOlcac,0.212,0.674,130693,0.437,2.64e-05,0,0.0799,-10.535,1,0.122,72.471,0.806,https://api.spotify.com/v1/tracks/05M9Tg0rDCppaut5HOlcac
Dreadlock Holiday,5AW06u82yN9agtQlINqny5,0.435,0.837,267747,0.407,0.000487,7,0.174,-12.416,0,0.0563,105.013,0.922,https://api.spotify.com/v1/tracks/5AW06u82yN9agtQlINqny5
Bush Doctor - 2002 Remastered Version,3UPPGZeSjNwxyJslnSTm1c,0.0143,0.762,247973,0.569,1.45e-05,4,0.0793,-7.863,0,0.0544,136.462,0.789,https://api.spotify.com/v1/tracks/3UPPGZeSjNwxyJslnSTm1c
Marcus Garvey,5TBIq0m6UujZEH2kZFYgPc,0.117,0.696,207000,0.477,0.00044,7,0.0572,-9.9,0,0.0668,91.79,0.58,https://api.spotify.com/v1/tracks/5TBIq0m6UujZEH2kZFYgPc
Still Blazing,3sbBOn0ifcgoX3MfaTeFKr,0.0159,0.749,230573,0.704,2.02e-06,6,0.0886,-5.415,0,0.269,145.618,0.821,https://api.spotify.com/v1/tracks/3sbBOn0ifcgoX3MfaTeFKr
"The Harder They Come - From ""The Harder They Come"" Soundtrack",6XitzIBDSAbU9gU9lhouQa,0.632,0.679,219907,0.575,0.0,1,0.165,-8.037,1,0.0717,102.588,0.79,https://api.spotify.com/v1/tracks/6XitzIBDSAbU9gU9lhouQa
I Wish You Were Here,4AVIdds2A4E4UsZcVU0Uso,0.02,0.796,267120,0.566,0.0181,7,0.116,-7.857,1,0.0695,143.994,0.58,https://api.spotify.com/v1/tracks/4AVIdds2A4E4UsZcVU0Uso
Kaya,5cr8A9dW3sFpGswVgZmiKx,0.0336,0.825,195733,0.586,3.83e-05,11,0.0564,-8.861,1,0.0647,97.532,0.834,https://api.spotify.com/v1/tracks/5cr8A9dW3sFpGswVgZmiKx
Firehouse Rock,2aEo5sPcclxVbA2vXFBi9M,0.2,0.814,253867,0.407,0.00253,9,0.159,-13.455,1,0.0536,130.355,0.906,https://api.spotify.com/v1/tracks/2aEo5sPcclxVbA2vXFBi9M
Jamming,1N33JzVusZ8awiZo6kcldO,0.107,0.935,211000,0.479,5.25e-05,11,0.118,-10.981,0,0.306,123.644,0.773,https://api.spotify.com/v1/tracks/1N33JzVusZ8awiZo6kcldO
Red Red Wine,4uOKFydzAejjSFqYbv1XPt,0.00414,0.857,183113,0.468,1.32e-05,1,0.269,-8.53,1,0.0476,89.119,0.843,https://api.spotify.com/v1/tracks/4uOKFydzAejjSFqYbv1XPt
Who Knows,0HBEM5CMp4Yg3Ne7orJzBX,0.0909,0.683,208467,0.724,0.0,5,0.339,-4.436,0,0.0988,80.932,0.742,https://api.spotify.com/v1/tracks/0HBEM5CMp4Yg3Ne7orJzBX
Better Must Come,0npA0d5jbB01k53LMRccKP,0.00356,0.672,163920,0.589,8.11e-05,9,0.309,-7.011,1,0.104,73.489,0.928,https://api.spotify.com/v1/tracks/0npA0d5jbB01k53LMRccKP
Pimper's Paradise,7GQumyB48MXYwHpqVJj8f3,0.00557,0.939,207773,0.65,0.0,9,0.0429,-8.282,0,0.0615,134.727,0.968,https://api.spotify.com/v1/tracks/7GQumyB48MXYwHpqVJj8f3
Johnny B Goode - 2002 Remastered Version,5uPYEStMW3KsXnnLV7iCTw,0.0299,0.749,244253,0.849,0.000168,4,0.115,-5.761,0,0.0544,145.169,0.959,https://api.spotify.com/v1/tracks/5uPYEStMW3KsXnnLV7iCTw
Kingston Town,2OHQhOiGIYaXqqJVIMpNrF,0.0381,0.788,192400,0.773,0.0,9,0.35,-5.272,0,0.099,73.978,0.584,https://api.spotify.com/v1/tracks/2OHQhOiGIYaXqqJVIMpNrF
Refugee,0FNKhGLRhx5FBl0t28EU2K,0.0283,0.644,210960,0.836,0.0,11,0.126,-4.058,0,0.0892,91.015,0.825,https://api.spotify.com/v1/tracks/0FNKhGLRhx5FBl0t28EU2K
Blind to You,1K4GmEkkeNhtPFbuKoVbqF,0.0291,0.624,227733,0.873,0.0,9,0.0371,-4.355,1,0.407,155.624,0.718,https://api.spotify.com/v1/tracks/1K4GmEkkeNhtPFbuKoVbqF
Marijuana,320iaIF1bWZ8CppiLB1jpE,0.0879,0.716,240760,0.58,0.0,9,0.0919,-7.906,0,0.281,89.204,0.696,https://api.spotify.com/v1/tracks/320iaIF1bWZ8CppiLB1jpE
Legalize It,73lYI49LhfsscO33ohrGN0,0.068,0.71,279360,0.589,4.38e-06,0,0.176,-11.933,1,0.167,144.601,0.65,https://api.spotify.com/v1/tracks/73lYI49LhfsscO33ohrGN0
Animal - Mark Ronson Remix,3Nbgpc2ooFHtkCT9ZLRFXg,0.304,0.833,270360,0.808,0.00918,1,0.045,-4.824,0,0.0414,116.806,0.961,https://api.spotify.com/v1/tracks/3Nbgpc2ooFHtkCT9ZLRFXg
Bad Boys (Theme from COPS),0qeKzbUsW0V4ZWRJrHNiD3,0.236,0.781,229375,0.722,0.00042,7,0.077,-8.376,1,0.0668,87.862,0.532,https://api.spotify.com/v1/tracks/0qeKzbUsW0V4ZWRJrHNiD3
Is This Love,5QTEEImISE4USGEwqAci8O,0.108,0.775,230733,0.559,0.0,6,0.0945,-8.377,0,0.088,122.229,0.804,https://api.spotify.com/v1/tracks/5QTEEImISE4USGEwqAci8O
Road To Zion,1LI4wMg4FQ9b1fGIzD63WK,0.106,0.662,317333,0.698,0.0,5,0.107,-6.337,0,0.221,93.322,0.441,https://api.spotify.com/v1/tracks/1LI4wMg4FQ9b1fGIzD63WK
It Don't Make Any Difference To Me (feat. Wyclef Jean) - Supa Dupes Remix,0QnlCOyZvfYSPOVYHKzwqk,0.00208,0.726,252848,0.664,0.0,11,0.185,-6.641,0,0.0388,88.504,0.387,https://api.spotify.com/v1/tracks/0QnlCOyZvfYSPOVYHKzwqk
Coming from Afar,3XDAF8W3lnKfjwFITAsjCj,0.0821,0.633,241500,0.878,0.0,0,0.244,-3.134,0,0.261,134.307,0.722,https://api.spotify.com/v1/tracks/3XDAF8W3lnKfjwFITAsjCj
