,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,0.185,0.704,207109,0.56,0.0,1,0.0948,-6.791,0,0.179,75.003,0.609,https://api.spotify.com/v1/tracks/3WefHNGtjexZvi66ZEx9u4
In My Head,1tT55K6VEyO6XFDxK4lDQe,0.745,0.499,214533,0.181,0.00123,9,0.106,-15.359,0,0.0429,111.956,0.0747,https://api.spotify.com/v1/tracks/1tT55K6VEyO6XFDxK4lDQe
E-Lo (feat. Jozzy),3eydp9rHJAskzOevEBK267,0.469,0.698,214720,0.797,0.00118,3,0.152,-5.125,0,0.0615,101.969,0.53,https://api.spotify.com/v1/tracks/3eydp9rHJAskzOevEBK267
Rewrite The Stars (with James Arthur & Anne-Marie),6mQLN3zRtAp6ovjusyYKrV,0.237,0.67,218293,0.743,0.0,10,0.465,-4.993,1,0.0393,125.944,0.571,https://api.spotify.com/v1/tracks/6mQLN3zRtAp6ovjusyYKrV
Only Want You,2CTN6UuO2dNEVZXR0DJVk2,0.0599,0.654,180760,0.528,7.14e-05,6,0.0975,-6.224,0,0.0412,82.014,0.376,https://api.spotify.com/v1/tracks/2CTN6UuO2dNEVZXR0DJVk2
come out and play,7wC5eZcFS1Q1BsQ35DU6H4,0.685,0.654,210376,0.316,0.0333,0,0.117,-14.351,1,0.109,145.074,0.186,https://api.spotify.com/v1/tracks/7wC5eZcFS1Q1BsQ35DU6H4
3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877,https://api.spotify.com/v1/tracks/1tNJrcVe6gwLEiZCtprs1u
Beach House,0N8MGHEDAq29ip7RrlrTeN,0.19,0.537,206120,0.837,0.0,0,0.348,-4.477,1,0.039,90.083,0.533,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN
Waves (feat. 6LACK),2qHk6Nz5glNQrjW8Rhd5kv,0.415,0.578,215671,0.588,0.0,0,0.114,-4.92,0,0.255,79.174,0.3,https://api.spotify.com/v1/tracks/2qHk6Nz5glNQrjW8Rhd5kv
Bad Liar,1erDNx55IWAE9OYuBTRYgc,0.0722,0.383,260773,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,0.0827,https://api.spotify.com/v1/tracks/1erDNx55IWAE9OYuBTRYgc
No Candle No Light (feat. Nicki Minaj),49ATdDBSasXb6wsHdrB2xQ,0.0176,0.612,193399,0.742,0.000102,5,0.101,-4.198,0,0.0519,122.052,0.431,https://api.spotify.com/v1/tracks/49ATdDBSasXb6wsHdrB2xQ
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,0.585,https://api.spotify.com/v1/tracks/5tAa8Uaqr4VvA3693mbIhU
Expectations,1EXotCuzdXR34W1MoP6Um7,0.00923,0.576,204067,0.443,1.88e-06,4,0.124,-7.477,0,0.0754,180.08,0.452,https://api.spotify.com/v1/tracks/1EXotCuzdXR34W1MoP6Um7
It's A Risk,6HENi2xCjSo7bep2PFxnJ8,0.0183,0.837,210411,0.444,0.0,1,0.0865,-7.988,1,0.258,145.978,0.72,https://api.spotify.com/v1/tracks/6HENi2xCjSo7bep2PFxnJ8
Velvet Rope,2u6dedaqZJeVFvqCTA0Qdm,0.472,0.54,235387,0.557,0.0,4,0.308,-4.858,1,0.0515,88.954,0.426,https://api.spotify.com/v1/tracks/2u6dedaqZJeVFvqCTA0Qdm
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,0.492,https://api.spotify.com/v1/tracks/5JEx7HbmvHQQswJCsoo9rA
Empty Space,1uru26I2JKd2mQZt0MDCUe,0.215,0.404,214227,0.531,0.0,1,0.0521,-4.328,1,0.103,164.848,0.321,https://api.spotify.com/v1/tracks/1uru26I2JKd2mQZt0MDCUe
SOLO,2wVDWtLKXunswWecARNILj,0.128,0.681,168461,0.666,0.0,3,0.127,-5.264,0,0.162,95.028,0.413,https://api.spotify.com/v1/tracks/2wVDWtLKXunswWecARNILj
Water Fountain,4IhKLu7Vk3j2TLmnFPl6To,0.388,0.723,218893,0.504,7.4e-05,8,0.087,-5.572,1,0.0392,133.975,0.551,https://api.spotify.com/v1/tracks/4IhKLu7Vk3j2TLmnFPl6To
Summer Love,3yPe9q1JY5Jlx7yrkGquWX,0.148,0.558,257920,0.734,0.00523,1,0.251,-6.262,1,0.0478,159.97,0.285,https://api.spotify.com/v1/tracks/3yPe9q1JY5Jlx7yrkGquWX
Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,0.492,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4
Remember (with ZOHARA),3Iee2uf8UXOrOupQzfs1z5,0.102,0.62,221773,0.906,0.0206,11,0.183,-3.638,0,0.0627,123.047,0.398,https://api.spotify.com/v1/tracks/3Iee2uf8UXOrOupQzfs1z5
