,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Don't Stop Believin',3HRQtRUYnnuZY7fE900XtJ,0.254,0.495,248200,0.781,0.0,4,0.395,-8.109,1,0.0413,119.206,0.473,https://api.spotify.com/v1/tracks/3HRQtRUYnnuZY7fE900XtJ
Don't Go Breaking My Heart,5Bkib0XUhVqvADQoJaRoWN,0.173,0.729,274267,0.846,2.18e-06,5,0.0811,-8.841,1,0.0358,131.472,0.747,https://api.spotify.com/v1/tracks/5Bkib0XUhVqvADQoJaRoWN
Don't Stop Me Now - Remastered,5T8EDUDqKcs6OSOwEsfqG7,0.0475,0.559,209413,0.868,0.000176,5,0.776,-5.276,1,0.17,156.295,0.609,https://api.spotify.com/v1/tracks/5T8EDUDqKcs6OSOwEsfqG7
Stand By Me,3SdTKo2uVsxFblQjpScoHy,0.57,0.65,180056,0.306,7.07e-06,9,0.0707,-9.443,1,0.0393,118.068,0.605,https://api.spotify.com/v1/tracks/3SdTKo2uVsxFblQjpScoHy
I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,0.207,0.709,291293,0.824,0.000307,1,0.0888,-8.824,1,0.0453,118.814,0.867,https://api.spotify.com/v1/tracks/2tUBqZG2AbRi7Q0BIrVrEj
9 to 5,4w3tQBXhn5345eUXDGBWZG,0.416,0.554,162467,0.783,1.54e-06,6,0.631,-5.852,1,0.0457,105.39,0.813,https://api.spotify.com/v1/tracks/4w3tQBXhn5345eUXDGBWZG
Footloose,2vz1CsL5WBsbpBcwgboTAw,0.0984,0.583,226827,0.905,0.00019,2,0.0593,-6.132,1,0.0733,173.982,0.646,https://api.spotify.com/v1/tracks/2vz1CsL5WBsbpBcwgboTAw
Walking On Sunshine,05wIrZSwuaVWhcv5FfqeH0,0.0116,0.596,238733,0.869,0.173,10,0.0678,-11.97,1,0.037,109.902,0.944,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0
Sweet Dreams (Are Made of This) - Remastered,1TfqLAPs4K3s2rJMoCokcS,0.227,0.692,216933,0.711,0.0,0,0.12,-7.498,0,0.0317,125.135,0.875,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS
Uptown Girl,5zA8vzDGqPl2AzZkEYQGKh,0.0747,0.701,197707,0.943,0.0,4,0.601,-2.986,1,0.0456,128.992,0.791,https://api.spotify.com/v1/tracks/5zA8vzDGqPl2AzZkEYQGKh
September,5nNmj1cLH3r4aA4XDJ2bgY,0.114,0.697,214827,0.809,0.000521,9,0.183,-8.197,1,0.0302,125.941,0.98,https://api.spotify.com/v1/tracks/5nNmj1cLH3r4aA4XDJ2bgY
Crazy,1vxw6aYJls2oq3gW0DujAo,0.0505,0.855,177466,0.587,0.00714,8,0.105,-4.589,1,0.0336,111.97,0.64,https://api.spotify.com/v1/tracks/1vxw6aYJls2oq3gW0DujAo
Dancing in the Moonlight,1FHNctV68GUNLgXclG2DtR,0.0528,0.639,233373,0.845,0.0,10,0.336,-3.333,1,0.0372,119.485,0.871,https://api.spotify.com/v1/tracks/1FHNctV68GUNLgXclG2DtR
Here Comes The Sun - Remastered,45yEy5WJywhJ3sDI28ajTm,0.0339,0.557,185733,0.54,0.00248,9,0.179,-10.484,1,0.0347,129.171,0.394,https://api.spotify.com/v1/tracks/45yEy5WJywhJ3sDI28ajTm
Girls Just Wanna Have Fun - Girls Just Wanna Have Fun,6Hty2HG4gxodm3gsfNyLJA,0.389,0.691,209427,0.83,0.00113,9,0.315,-5.94,1,0.0353,119.925,0.722,https://api.spotify.com/v1/tracks/6Hty2HG4gxodm3gsfNyLJA
I WILL SURVIVE,0x4GSz5C4XZDkNhFswGboC,0.126,0.772,197413,0.794,0.000553,9,0.322,-9.208,0,0.0632,116.959,0.638,https://api.spotify.com/v1/tracks/0x4GSz5C4XZDkNhFswGboC
You Make My Dreams,4o6BgsqLIBViaGVbx5rbRk,0.234,0.751,190627,0.501,0.112,5,0.0467,-12.151,1,0.0552,167.058,0.902,https://api.spotify.com/v1/tracks/4o6BgsqLIBViaGVbx5rbRk
We Are Family,5IKLwqBQG6KU6MP2zP80Nu,0.3,0.784,216733,0.893,1.57e-05,7,0.272,-5.153,0,0.0923,118.738,0.819,https://api.spotify.com/v1/tracks/5IKLwqBQG6KU6MP2zP80Nu
Another One Bites The Dust - Remastered 2011,5vdp5UmvTsnMEMESIF2Ym7,0.112,0.933,214653,0.528,0.312,5,0.163,-6.472,0,0.161,109.967,0.754,https://api.spotify.com/v1/tracks/5vdp5UmvTsnMEMESIF2Ym7
Poker Face,0le79px2kIBXQDxUe8ZUGP,0.12,0.851,237200,0.806,1.39e-06,4,0.122,-4.618,1,0.0788,119.002,0.775,https://api.spotify.com/v1/tracks/0le79px2kIBXQDxUe8ZUGP
La Bamba (45 Version),0uMMLry3hzWGn3q3loqMkm,0.144,0.506,174187,0.764,0.00025,0,0.247,-12.239,1,0.046,156.336,0.868,https://api.spotify.com/v1/tracks/0uMMLry3hzWGn3q3loqMkm
I Want It That Way,6e40mgJiCid5HRAGrbpGA6,0.216,0.689,213600,0.702,0.0,6,0.159,-5.642,0,0.0261,99.031,0.484,https://api.spotify.com/v1/tracks/6e40mgJiCid5HRAGrbpGA6
Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA,0.00701,0.578,199080,0.866,0.0,1,0.257,-3.804,1,0.0619,128.038,0.619,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA
Take on Me,4gENEhsI6JkKKSyWE7DWqF,0.0163,0.534,225920,0.872,0.00174,6,0.0924,-9.156,0,0.0498,169.088,0.859,https://api.spotify.com/v1/tracks/4gENEhsI6JkKKSyWE7DWqF
If I Could Turn Back Time,6mYrhCAGWzTdF8QnKuchXM,0.244,0.654,239827,0.566,0.0,11,0.123,-10.313,1,0.0268,108.293,0.527,https://api.spotify.com/v1/tracks/6mYrhCAGWzTdF8QnKuchXM
How Will I Know,5tdKaKLnC4SgtDZ6RlWeal,0.201,0.832,275533,0.544,0.000139,6,0.632,-12.697,1,0.0442,119.49,0.928,https://api.spotify.com/v1/tracks/5tdKaKLnC4SgtDZ6RlWeal
She Will Be Loved,5s5t0OFg9lIlBFaCI14K1i,0.0567,0.524,257133,0.711,0.0,0,0.134,-5.494,0,0.0405,203.867,0.539,https://api.spotify.com/v1/tracks/5s5t0OFg9lIlBFaCI14K1i
All Star,3cfOd4CMv2snFaKAnMdnvK,0.0319,0.731,200373,0.861,0.0,11,0.0829,-5.881,1,0.0323,104.034,0.78,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK
This Love,5zF2zGPkL6Ipsn9AfAK6RP,0.0551,0.714,206200,0.868,0.0,5,0.0987,-4.596,0,0.0363,95.05,0.78,https://api.spotify.com/v1/tracks/5zF2zGPkL6Ipsn9AfAK6RP
Jump - 2015 Remastered Version,7N3PAbqfTjSEU1edb2tY8j,0.171,0.572,241600,0.835,0.000376,0,0.0702,-6.219,1,0.0317,129.994,0.796,https://api.spotify.com/v1/tracks/7N3PAbqfTjSEU1edb2tY8j
Holiday,3ibAzRj9JnowdoLkyllk3n,0.0251,0.813,231560,0.699,0.0135,7,0.0527,-8.656,1,0.0458,117.548,0.732,https://api.spotify.com/v1/tracks/3ibAzRj9JnowdoLkyllk3n
