,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Anywhere,7EI6Iki24tBHAMxtb4xQN2,0.0364,0.628,215064,0.797,0.0,11,0.104,-3.953,0,0.0596,106.93,0.321,https://api.spotify.com/v1/tracks/7EI6Iki24tBHAMxtb4xQN2
breathin,4OafepJy2teCjYJbvFE60J,0.0211,0.568,198160,0.656,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,0.364,https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J
I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,0.00281,0.63,195519,0.694,0.0,11,0.0719,-6.257,0,0.0253,97.005,0.216,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R
I Like It,58q2HKrzhC3ozto2nDdN4z,0.099,0.816,253390,0.726,0.0,5,0.372,-3.998,0,0.129,136.048,0.65,https://api.spotify.com/v1/tracks/58q2HKrzhC3ozto2nDdN4z
FRIENDS,08bNPGLD8AhKpnnERrAc6G,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0,0.0504,95.079,0.534,https://api.spotify.com/v1/tracks/08bNPGLD8AhKpnnERrAc6G
Let You Love Me,6xtcFXSo8H9BZN637BMVKS,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,0.456,https://api.spotify.com/v1/tracks/6xtcFXSo8H9BZN637BMVKS
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,0.346,0.638,180000,0.717,0.0,2,0.105,-4.722,1,0.0337,100.027,0.249,https://api.spotify.com/v1/tracks/4VUwkH455At9kENOfzTqmF
Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628,https://api.spotify.com/v1/tracks/25sgk305KZfyuqVBQIahim
Without Me,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,0.533,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C
There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,0.49,0.755,174861,0.625,0.0,2,0.157,-7.114,1,0.0896,147.02,0.374,https://api.spotify.com/v1/tracks/2hnxrRNzF74mdDzpQZQukQ
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,0.591,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM
Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,0.173,0.757,228207,0.849,0.0,5,0.0878,-3.424,0,0.0536,150.036,0.826,https://api.spotify.com/v1/tracks/6rrTr2HEAzlpC4KWZxF3S1
For You (Fifty Shades Freed) (& Rita Ora),66xn6tB8s3l8uhj02OGneE,0.0167,0.541,245453,0.787,0.0,2,0.157,-4.618,0,0.0331,113.0,0.2,https://api.spotify.com/v1/tracks/66xn6tB8s3l8uhj02OGneE
Cherry,49eeirITrqP3pJALseu6Ed,0.0129,0.577,205224,0.79,5.06e-06,3,0.334,-3.458,1,0.0494,102.03,0.645,https://api.spotify.com/v1/tracks/49eeirITrqP3pJALseu6Ed
Say My Name,3MoV1UsAJmz64LHqyiRMp0,0.137,0.703,198947,0.66,0.0,10,0.192,-5.119,0,0.123,95.031,0.79,https://api.spotify.com/v1/tracks/3MoV1UsAJmz64LHqyiRMp0
Youngblood,55S2PQgSMYAhgoTCcGCDfw,0.0169,0.596,203418,0.854,0.0,7,0.124,-5.114,0,0.463,120.274,0.152,https://api.spotify.com/v1/tracks/55S2PQgSMYAhgoTCcGCDfw
Happier,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,0.671,https://api.spotify.com/v1/tracks/2dpaYNEQHiRxtZbfNsse99
