,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,0.0108,0.451,227960,0.55,0.0,1,0.0737,-8.137,1,0.262,80.001,0.594,https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD
Promiscuous,3SwlakM6VX47IwG0Wll5ek,0.0536,0.807,242373,0.97,6.6e-05,10,0.149,-6.056,0,0.0477,114.297,0.876,https://api.spotify.com/v1/tracks/3SwlakM6VX47IwG0Wll5ek
In Da Club,4RY96Asd9IefaL3X4LOLZ8,0.283,0.865,193467,0.73,0.0,6,0.0753,-2.813,0,0.373,90.096,0.808,https://api.spotify.com/v1/tracks/4RY96Asd9IefaL3X4LOLZ8
It Wasn't Me,0OaunKfsxkgBvPv68jBbmm,0.0503,0.852,227547,0.604,0.0,0,0.327,-4.569,1,0.0642,94.762,0.667,https://api.spotify.com/v1/tracks/0OaunKfsxkgBvPv68jBbmm
Yeah!,5rb9QrpfcKFHM1EUbSIurX,0.0183,0.894,250373,0.791,0.0,2,0.0388,-4.699,1,0.112,105.018,0.583,https://api.spotify.com/v1/tracks/5rb9QrpfcKFHM1EUbSIurX
Temperature,0k2GOhqsrxDTAbFFSdNJjT,0.106,0.951,218573,0.6,0.0,0,0.0712,-4.675,0,0.0685,125.04,0.822,https://api.spotify.com/v1/tracks/0k2GOhqsrxDTAbFFSdNJjT
Me & U,7k6IzwMGpxnRghE7YosnXT,0.352,0.803,192213,0.454,0.0,8,0.0655,-4.802,0,0.0294,99.99,0.739,https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT
No Scrubs,1KGi9sZVMeszgZOWivFpxs,0.0251,0.743,214400,0.675,0.000717,8,0.0685,-4.267,0,0.0953,92.909,0.59,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs
Candy Shop,2mpFm3f7QmdsVtSAIICEB7,0.0305,0.609,208533,0.588,0.000142,7,0.369,-7.992,1,0.481,128.763,0.797,https://api.spotify.com/v1/tracks/2mpFm3f7QmdsVtSAIICEB7
Pony,5FR54UnizyI8pE5E9Zb0Dt,0.0068,0.545,324800,0.647,0.000904,8,0.503,-8.079,0,0.284,142.026,0.957,https://api.spotify.com/v1/tracks/5FR54UnizyI8pE5E9Zb0Dt
Smack That,2kQuhkFX7uSVepCD3h29g5,0.292,0.937,212360,0.738,0.0,5,0.106,-5.301,0,0.0478,118.994,0.911,https://api.spotify.com/v1/tracks/2kQuhkFX7uSVepCD3h29g5
"One, Two Step",7uKcScNXuO3MWw6LowBjW1,0.042,0.944,203787,0.511,0.00107,5,0.0379,-10.96,0,0.161,113.046,0.842,https://api.spotify.com/v1/tracks/7uKcScNXuO3MWw6LowBjW1
Hey Ya! - Radio Mix / Club Mix,5WQ1hIc5d2EVbRQ8qsj8Uh,0.0588,0.719,235213,0.967,0.000249,0,0.206,-2.435,1,0.0552,79.505,0.964,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh
Hot In Herre,04KTF78FFg8sOHC1BADqbY,0.218,0.965,228227,0.736,0.0,9,0.0595,-5.005,0,0.144,107.07,0.921,https://api.spotify.com/v1/tracks/04KTF78FFg8sOHC1BADqbY
Drop It Like It's Hot,6HHytHLXLX8QfWTtGfFSvH,0.169,0.892,266067,0.628,0.0,1,0.102,-3.832,1,0.216,92.063,0.676,https://api.spotify.com/v1/tracks/6HHytHLXLX8QfWTtGfFSvH
Still D.R.E.,503OTo2dSqe7qk76rgsbep,0.177,0.821,270587,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,0.547,https://api.spotify.com/v1/tracks/503OTo2dSqe7qk76rgsbep
Waterfalls,6qspW4YKycviDFjHBOaqUY,0.311,0.77,279507,0.505,7.4e-05,1,0.0777,-7.345,1,0.0828,171.798,0.757,https://api.spotify.com/v1/tracks/6qspW4YKycviDFjHBOaqUY
Who's That Girl?,5hALSggfcyvBNLUHY8pvZd,0.0158,0.782,282067,0.861,0.000532,3,0.0675,-3.813,0,0.181,96.458,0.518,https://api.spotify.com/v1/tracks/5hALSggfcyvBNLUHY8pvZd
No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,0.303,0.868,304600,0.646,0.0,1,0.284,-4.674,0,0.288,88.641,0.67,https://api.spotify.com/v1/tracks/6MdqqkQ8sSC0WB4i8PyRuQ
Where My Girls At,2Nzm9dtlzWHrYtbAt53NV8,0.0334,0.701,166693,0.73,0.0161,6,0.232,-7.45,1,0.0486,92.185,0.765,https://api.spotify.com/v1/tracks/2Nzm9dtlzWHrYtbAt53NV8
Ridin',3kZoay4ANo86ehb6s4RwS9,0.181,0.788,302000,0.808,0.0,8,0.517,-4.77,0,0.101,143.04,0.844,https://api.spotify.com/v1/tracks/3kZoay4ANo86ehb6s4RwS9
Get Ur Freak On,6zsk6uF3MxfIeHPlubKBvR,0.533,0.797,211120,0.75,0.108,0,0.095,-9.369,1,0.247,177.87,0.74,https://api.spotify.com/v1/tracks/6zsk6uF3MxfIeHPlubKBvR
Into You (feat. Ashanti),4b5aJdOgxps6z0dPe6wCHF,0.179,0.726,274333,0.568,0.0,7,0.0488,-8.358,0,0.0298,91.906,0.631,https://api.spotify.com/v1/tracks/4b5aJdOgxps6z0dPe6wCHF
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,0.511,0.732,221933,0.724,0.0,0,0.0491,-2.104,1,0.101,140.13,0.808,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi
Move Ya Body,2ndnVdR8si7CW9T8vJRHyW,0.0234,0.876,232000,0.71,0.000161,11,0.0573,-6.446,0,0.0446,121.072,0.828,https://api.spotify.com/v1/tracks/2ndnVdR8si7CW9T8vJRHyW
Hypnotize,6Tsu3OsuMz4KEGKbOYd6A0,0.176,0.895,230000,0.694,0.0,9,0.292,-4.384,1,0.275,93.944,0.632,https://api.spotify.com/v1/tracks/6Tsu3OsuMz4KEGKbOYd6A0
Milkshake,4LmzPJDil70LpiApWfOI6O,0.00933,0.887,182813,0.774,0.0213,1,0.159,-6.108,1,0.0434,113.0,0.826,https://api.spotify.com/v1/tracks/4LmzPJDil70LpiApWfOI6O
What's Luv? (feat. Ja-Rule & Ashanti),2mKouqwAIdQnMP43zxR89r,0.0219,0.835,267093,0.707,2.19e-05,8,0.108,-5.074,1,0.0598,93.955,0.919,https://api.spotify.com/v1/tracks/2mKouqwAIdQnMP43zxR89r
Rock Your Body,1AWQoqb9bSvzTjaLralEkT,0.202,0.891,267267,0.714,0.000234,4,0.0521,-6.055,0,0.14,100.972,0.818,https://api.spotify.com/v1/tracks/1AWQoqb9bSvzTjaLralEkT
California Love - Original Version,3djNBlI7xOggg7pnsOLaNm,0.0292,0.761,284480,0.847,2.26e-06,7,0.39,-3.068,1,0.0417,91.519,0.765,https://api.spotify.com/v1/tracks/3djNBlI7xOggg7pnsOLaNm
Survivor,2Mpj1Ul5OFPyyP4wB62Rvi,0.0559,0.514,254027,0.911,0.0,1,0.775,-2.027,0,0.41,161.109,0.619,https://api.spotify.com/v1/tracks/2Mpj1Ul5OFPyyP4wB62Rvi
Run It!,6SPD3JwwRejBhCDiQAQ4he,0.0246,0.85,229867,0.482,0.0,1,0.387,-6.684,0,0.102,100.957,0.217,https://api.spotify.com/v1/tracks/6SPD3JwwRejBhCDiQAQ4he
