,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
"thank u, next",2rPE9A1vEgShuZxxzR2tZH,0.28,0.724,207333,0.647,0.0,1,0.102,-5.642,1,0.0658,106.96,0.435
Sunflower - Spider-Man: Into the Spider-Verse,1A6OTy97kk0mMdm78rHsm8,0.551,0.753,158053,0.498,0.0,2,0.0706,-5.61,1,0.0504,89.95,0.927
come out and play,7wC5eZcFS1Q1BsQ35DU6H4,0.685,0.654,210376,0.316,0.0333,0,0.117,-14.351,1,0.109,145.074,0.186
Happy Now (feat. Sandro Cavazza),14sOS5L36385FJ3OL8hew4,0.374,0.693,211362,0.575,0.0,9,0.252,-6.998,1,0.0801,117.999,0.492
Ruin My Life,5tAa8Uaqr4VvA3693mbIhU,0.423,0.665,190932,0.699,0.0,11,0.0969,-5.265,1,0.0578,124.896,0.585
TIC TOC (feat. Lil Baby),4m5Cd9kAbIxg6t9sMrQWtk,0.0115,0.82,135739,0.691,0.0,6,0.344,-6.646,0,0.0723,142.027,0.683
Without Me,5p7ujcrUXASCNwRaWNHR1C,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,0.533
Bad Liar,2RSHsoi04658QL5xgQVov3,0.0722,0.383,260773,0.637,0.0,3,0.368,-6.993,1,0.0703,177.913,0.0827
Close To Me (with Diplo) (feat. Swae Lee),5JEx7HbmvHQQswJCsoo9rA,0.0969,0.574,182623,0.758,0.0,1,0.395,-5.029,0,0.0621,144.111,0.492
Better,4T3fNx3CgwDRRYgmFCbD4J,0.0984,0.442,229413,0.585,0.391,0,0.14,-10.332,0,0.0964,97.565,0.116
Woman Like Me (feat. Nicki Minaj),6rrTr2HEAzlpC4KWZxF3S1,0.173,0.757,228207,0.849,0.0,5,0.0878,-3.424,0,0.0536,150.036,0.826
when the party's over,14JzyD6FlBD5z0wV5P07YI,0.979,0.498,199931,0.104,7.86e-05,1,0.0895,-14.08,0,0.0621,124.001,0.205
Arms Around You (feat. Maluma & Swae Lee),2LskIZrCeLxRvCiGP8gxlh,0.0302,0.703,198903,0.723,2.06e-06,9,0.126,-5.45,0,0.0412,104.969,0.288
Kiss and Make Up,7jr3iPu4O4bTCVwLMbdU2i,0.0658,0.678,189173,0.729,0.0,8,0.303,-4.188,1,0.137,99.895,0.643
I Found You (with Calvin Harris),5sdb5pMhcK44SSLsj1moUh,0.033,0.775,191496,0.872,0.0579,6,0.298,-4.194,1,0.0469,122.994,0.379
Rewrite The Stars (with James Arthur & Anne-Marie),78nplE9X2ZGvQh3TKgvldE,0.237,0.67,218293,0.743,0.0,10,0.465,-4.993,1,0.0393,125.944,0.571
Sweet but Psycho,25sgk305KZfyuqVBQIahim,0.0691,0.719,187436,0.704,0.0,1,0.166,-4.724,1,0.0476,133.002,0.628
Saturday Nights,7vGGAJBkHKxKtOnGjQduDV,0.635,0.54,209547,0.439,1.93e-05,10,0.0993,-8.591,1,0.115,167.908,0.371
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",4w8niZpiMy6qz1mntFA5uM,0.153,0.841,212500,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,0.591
Hurts Like Hell (feat. Offset),3WefHNGtjexZvi66ZEx9u4,0.185,0.704,207109,0.56,0.0,1,0.0948,-6.791,0,0.179,75.003,0.609
bellyache,51NFxnQvaosfDDutk0tams,0.46,0.695,179172,0.573,0.0734,4,0.482,-8.597,0,0.106,99.939,0.408
SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,0.00513,0.834,312820,0.73,0.0,8,0.124,-3.714,1,0.222,155.008,0.446
Beach House,0N8MGHEDAq29ip7RrlrTeN,0.19,0.537,206120,0.837,0.0,0,0.348,-4.477,1,0.039,90.083,0.533
Shallow - Radio Edit,6QfS2wq5sSC1xAJCQsTSlj,0.416,0.575,217213,0.33,0.0,7,0.0872,-6.557,1,0.031,95.801,0.277
In My Head,1tT55K6VEyO6XFDxK4lDQe,0.745,0.499,214533,0.181,0.00123,9,0.106,-15.359,0,0.0429,111.956,0.0747
Only Want You,2CTN6UuO2dNEVZXR0DJVk2,0.0599,0.654,180760,0.528,7.14e-05,6,0.0975,-6.224,0,0.0412,82.014,0.376
MIA (feat. Drake),116H0KvKr2Zl4RPuVBruDO,0.0141,0.817,210368,0.539,0.000496,6,0.099,-6.349,0,0.0621,97.062,0.158
Empty Space,1uru26I2JKd2mQZt0MDCUe,0.215,0.404,214227,0.531,0.0,1,0.0521,-4.328,1,0.103,164.848,0.321
Waste It On Me (feat. BTS),2r1T6xGTVaNAqBoPH4lZEE,0.252,0.669,192537,0.684,0.0,7,0.72,-4.595,1,0.0585,96.097,0.466
BAD!,4CH66Rxcjcj3VBHwmIBj4T,0.0643,0.78,94246,0.492,0.0313,5,0.174,-3.4,0,0.0671,143.983,0.374
No One Compares To You,2jZIfoe48eUeOEnP9Ho4h2,0.123,0.703,184080,0.748,0.0,1,0.0642,-6.047,1,0.0435,111.943,0.625
Topanga,5aXgz1oKK8Q9z9xvTmSnrO,0.00587,0.755,215364,0.615,1.75e-06,4,0.109,-8.245,1,0.0454,105.955,0.039
Let You Love Me,6xtcFXSo8H9BZN637BMVKS,0.288,0.531,190000,0.854,0.0,10,0.0773,-3.149,1,0.198,94.419,0.456
This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,0.0558,0.575,197947,0.571,0.0,1,0.0912,-7.906,1,0.0439,105.049,0.449
SOLO,2wVDWtLKXunswWecARNILj,0.128,0.681,168461,0.666,0.0,3,0.127,-5.264,0,0.162,95.028,0.413
There's No Way (feat. Julia Michaels),2hnxrRNzF74mdDzpQZQukQ,0.49,0.755,174861,0.625,0.0,2,0.157,-7.114,1,0.0896,147.02,0.374
Falling Down - Bonus Track,0Dn40gxVCMo5TkgS8Ik18Q,0.0175,0.669,196400,0.574,0.00294,4,0.146,-6.442,0,0.0286,120.013,0.273
3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.223,0.815,177667,0.518,0.0,7,0.104,-6.594,0,0.0897,151.891,0.877
Happier,2dpaYNEQHiRxtZbfNsse99,0.191,0.687,214290,0.792,0.0,5,0.167,-2.749,1,0.0452,100.015,0.671
Light On,5AdnkoZJuRJCYqYBIzSqFb,0.201,0.657,233880,0.569,1.38e-05,2,0.126,-6.287,1,0.0542,102.054,0.399
ZEZE (feat. Travis Scott & Offset),7l3E7lcozEodtVsSTCkcaA,0.071,0.826,225199,0.615,0.0,8,0.0965,-7.979,0,0.219,98.056,0.543
Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,0.751,0.501,182161,0.405,0.0,1,0.105,-5.679,1,0.0319,109.891,0.446
Money,2GGMabyHXnJmjY6CXhhB2e,0.00534,0.95,183527,0.59,0.0,8,0.11,-6.508,0,0.29,130.003,0.219
comethru,18uwL0vNUanqZH0ro2QcOP,0.601,0.794,181613,0.188,0.0,0,0.637,-11.957,1,0.0523,93.967,0.64
Thursday,3ji4bcQugJj5B6NRGYDNwP,0.428,0.82,214027,0.582,0.0,2,0.0419,-4.441,1,0.0454,112.064,0.309
Wake Up in the Sky,0QIjsbm2fh1cJ45XO9eGqq,0.00381,0.8,204665,0.578,0.0,4,0.359,-5.144,0,0.0485,143.01,0.367
Love Someone,2JqnpexlO9dmvjUMCaLCLJ,0.161,0.55,205463,0.415,0.0,9,0.108,-6.557,0,0.052,172.065,0.274
Mo Bamba,3QybPutx0Tjk472bBKjNWn,0.268,0.738,180898,0.629,0.00114,6,0.163,-4.882,0,0.0495,146.067,0.319
Say My Name,0YammaEkYSeo9vQYZ1OwS6,0.137,0.703,198947,0.66,0.0,10,0.192,-5.119,0,0.123,95.031,0.79
REEL IT IN,5qHirGR7M9tdm6C17DlzSY,0.073,0.754,121347,0.342,0.0,10,0.193,-8.677,0,0.0991,128.981,0.423
