,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,track_href
Havana,1rfofaqEpACxVEHIZBJe6W,0.184,0.765,217307,0.523,3.56e-05,2,0.132,-4.333,1,0.03,104.988,0.394,https://api.spotify.com/v1/tracks/1rfofaqEpACxVEHIZBJe6W
Bang Bang,0puf9yIluy9W0vpMEUoAnN,0.26,0.706,199387,0.786,0.0,0,0.38,-3.417,0,0.0909,150.035,0.749,https://api.spotify.com/v1/tracks/0puf9yIluy9W0vpMEUoAnN
New Rules,2ekn2ttSfGqwhhate0LSR0,0.00261,0.762,209320,0.7,1.56e-05,9,0.153,-6.021,0,0.0694,116.073,0.608,https://api.spotify.com/v1/tracks/2ekn2ttSfGqwhhate0LSR0
Halo,4JehYebiI9JE8sR8MisGVb,0.272,0.508,261640,0.72,0.0,11,0.0563,-5.908,0,0.0628,79.983,0.472,https://api.spotify.com/v1/tracks/4JehYebiI9JE8sR8MisGVb
Issues,7vu0JkJh0ldukEYbTVcqd0,0.401,0.728,176320,0.415,0.0,8,0.0616,-6.852,1,0.0639,114.145,0.455,https://api.spotify.com/v1/tracks/7vu0JkJh0ldukEYbTVcqd0
Work,72TFWvU3wUYdUuxejTTIzt,0.0641,0.594,219320,0.533,0.0,11,0.0928,-6.222,1,0.0981,91.496,0.524,https://api.spotify.com/v1/tracks/72TFWvU3wUYdUuxejTTIzt
We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,0.00882,0.613,231240,0.622,0.0,1,0.37,-5.794,0,0.0334,80.003,0.484,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH
breathin,4OafepJy2teCjYJbvFE60J,0.0211,0.568,198160,0.656,1.37e-05,8,0.213,-5.413,1,0.0433,100.049,0.364,https://api.spotify.com/v1/tracks/4OafepJy2teCjYJbvFE60J
Delicate,6NFyWDv5CjfwuzoCkw47Xf,0.216,0.75,232253,0.404,0.000357,9,0.0911,-10.178,0,0.0682,95.045,0.0499,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf
2002,4Pbg79cTBu4vgSphoyNq3j,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,0.603,https://api.spotify.com/v1/tracks/4Pbg79cTBu4vgSphoyNq3j
Worth It,41Fflg7qHiVOD6dEPvsCzO,0.063,0.884,224573,0.765,7.04e-06,8,0.118,-3.865,1,0.0882,99.987,0.594,https://api.spotify.com/v1/tracks/41Fflg7qHiVOD6dEPvsCzO
Love Myself,4Y6IdA3e4wwLrbKHDjufaC,0.0029,0.616,218773,0.765,0.0,0,0.149,-6.75,0,0.078,122.916,0.343,https://api.spotify.com/v1/tracks/4Y6IdA3e4wwLrbKHDjufaC
Send My Love (To Your New Lover),4BHzQ9C00ceJxfG16AlNWb,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,0.562,https://api.spotify.com/v1/tracks/4BHzQ9C00ceJxfG16AlNWb
"Love Me Like You Do - From ""Fifty Shades Of Grey""",2l8w0zZVn4AZNuzrht7MRT,0.247,0.262,252534,0.606,0.0,8,0.125,-6.646,1,0.0484,189.857,0.275,https://api.spotify.com/v1/tracks/2l8w0zZVn4AZNuzrht7MRT
I'm a Mess,04ZTP5KsCypmtCmQg5tH9R,0.00281,0.63,195519,0.694,0.0,11,0.0719,-6.257,0,0.0253,97.005,0.216,https://api.spotify.com/v1/tracks/04ZTP5KsCypmtCmQg5tH9R
Royals,3yvZ1VUso9Xi7EvIyLaj4o,0.112,0.636,190185,0.436,0.0,7,0.135,-9.524,1,0.139,84.804,0.331,https://api.spotify.com/v1/tracks/3yvZ1VUso9Xi7EvIyLaj4o
A Little More,75MKHk9JSlu8MOixmQ982v,0.797,0.376,144720,0.211,0.0,4,0.196,-11.665,1,0.0364,94.7,0.228,https://api.spotify.com/v1/tracks/75MKHk9JSlu8MOixmQ982v
Ain't Your Mama,2hgzdQdnfWwtdpZbhZlV72,0.0472,0.757,218235,0.678,9.14e-06,8,0.0654,-5.529,0,0.233,120.075,0.82,https://api.spotify.com/v1/tracks/2hgzdQdnfWwtdpZbhZlV72
"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",7GQqj9jRtDkMp8zByehXQI,0.0174,0.751,264847,0.766,8.07e-06,5,0.658,-3.594,1,0.0515,109.897,0.673,https://api.spotify.com/v1/tracks/7GQqj9jRtDkMp8zByehXQI
Bad Liar,2fZQIJew3nkNe99s2PKzul,0.189,0.965,214648,0.414,0.0,1,0.0767,-6.408,1,0.0713,121.032,0.728,https://api.spotify.com/v1/tracks/2fZQIJew3nkNe99s2PKzul
Replay,7d1CFwrBmH34gmS0Hkbfbt,0.0416,0.688,209187,0.723,0.0002,6,0.302,-6.682,0,0.121,140.023,0.618,https://api.spotify.com/v1/tracks/7d1CFwrBmH34gmS0Hkbfbt
